match_id,date,patch,tournament,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,blue_win,data_source,red_win,pick_source
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_1,2026-04-30 18:09:00,26.09,Arabian League 2nd Division 2026 Spring,Victorious Demons,Lunaris Esports (MENA Team),Victorious Demons,"['Zoe', 'Fiora', 'Jarvan IV', 'Ahri', 'Aurora']","['Neeko', 'Karma', 'Orianna', 'Ryze', 'Sylas']","['Renekton', 'Ambessa', 'Galio', 'Ezreal', 'Bard']","['Jax', 'Nocturne', 'LeBlanc', 'Varus', 'Nautilus']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_1,2026-04-30 18:19:00,26.09,Arabian League 2nd Division 2026 Spring,Team Depressed,Pegasus Esports,Pegasus Esports,"['Nautilus', 'Zaahen', 'Alistar', 'Ezreal', 'Caitlyn']","[""Rek'Sai"", 'Anivia', 'Lulu', 'Akali', 'Ambessa']","['Gwen', 'Pantheon', 'Syndra', 'Corki', 'Nami']","['Sion', 'Aatrox', 'Mel', 'Yunara', 'Karma']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_2,2026-04-30 18:56:00,26.09,Arabian League 2nd Division 2026 Spring,Lunaris Esports (MENA Team),Victorious Demons,Victorious Demons,"['Neeko', 'Sylas', 'Karma', 'Rakan', 'Rell']","['Zoe', 'Fiora', 'Jarvan IV', 'Leona', 'Alistar']","['Gnar', 'Xin Zhao', 'Orianna', ""Kai'Sa"", 'Thresh']","['Irelia', 'Wukong', 'Ryze', 'Caitlyn', 'Morgana']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_2,2026-04-30 19:05:00,26.09,Arabian League 2nd Division 2026 Spring,Pegasus Esports,Team Depressed,Team Depressed,"[""Rek'Sai"", 'Anivia', 'Lulu', 'Akali', 'Caitlyn']","['Nautilus', 'Zaahen', 'Ashe', 'Alistar', 'Ahri']","[""K'Sante"", 'Xin Zhao', 'Zoe', 'Ezreal', 'Rakan']","['Ambessa', 'Trundle', 'Annie', ""Kai'Sa"", 'Neeko']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_3,2026-04-30 19:55:00,26.09,Arabian League 2nd Division 2026 Spring,Team Depressed,Pegasus Esports,Pegasus Esports,"['Zaahen', 'Nautilus', 'Rumble', 'Lucian', 'Orianna']","[""Rek'Sai"", 'Anivia', 'Lulu', 'Caitlyn', 'Olaf']","['Dr. Mundo', 'Jarvan IV', 'Sylas', 'Jhin', 'Bard']","['Ornn', 'Nocturne', 'Cassiopeia', 'Vayne', 'Braum']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Arabian League/2026 Season/Spring Split_Last Stand_1_1,2026-05-01 16:14:00,26.09,Arabian League 2026 Spring,One More Esports,JSK Esports,One More Esports,"['Zaahen', 'Nocturne', 'Pantheon', 'Nami', 'Leona']","['Orianna', 'Karma', 'Xin Zhao', 'Galio', 'Viktor']","['Gnar', 'Jarvan IV', 'Mel', 'Tristana', 'Lulu']","['Ambessa', 'Naafiri', 'LeBlanc', 'Ezreal', 'Thresh']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
Arabian League/2026 Season/Spring Split_Last Stand_1_2,2026-05-01 17:23:00,26.09,Arabian League 2026 Spring,One More Esports,JSK Esports,One More Esports,"['Nocturne', 'Pantheon', 'Aurora', 'Akali', 'Syndra']","['Orianna', 'Xin Zhao', 'Karma', 'Galio', 'Rumble']","['Renekton', 'Wukong', 'Annie', 'Ashe', 'Seraphine']","['Jayce', 'Skarner', 'Ahri', 'Corki', 'Nami']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
Arabian League/2026 Season/Spring Split_Last Stand_2_1,2026-05-01 18:39:00,26.09,Arabian League 2026 Spring,3BL Esports,GnG Amazigh,GnG Amazigh,"['Caitlyn', 'Nocturne', 'Orianna', 'Kled', ""K'Sante""]","['Pantheon', 'Rell', 'Neeko', 'Akali', 'Ahri']","['Sion', 'Xin Zhao', 'Aurora', ""Kai'Sa"", 'Nautilus']","['Zaahen', 'Jarvan IV', 'Viktor', 'Yunara', 'Braum']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Arabian League/2026 Season/Spring Split_Last Stand_2_2,2026-05-01 19:37:00,26.09,Arabian League 2026 Spring,GnG Amazigh,3BL Esports,3BL Esports,"['Rell', 'Akali', 'Pantheon', 'Neeko', 'Varus']","['Nocturne', 'Orianna', 'Karma', 'Ezreal', 'Sivir']","[""K'Sante"", 'Naafiri', 'Ryze', 'Xayah', 'Rakan']","['Gnar', 'Wukong', 'Syndra', 'Corki', 'Nami']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Arabian League/2026 Season/Spring Split_Last Stand_2_3,2026-05-01 20:29:00,26.09,Arabian League 2026 Spring,3BL Esports,GnG Amazigh,3BL Esports,"['Nocturne', 'Orianna', 'Ezreal', 'Qiyana', ""Kha'Zix""]","['Pantheon', 'Rell', 'Akali', 'LeBlanc', 'Sylas']","['Galio', 'Lee Sin', 'Lissandra', 'Sivir', 'Karma']","['Rumble', 'Vi', 'Ahri', 'Jhin', 'Alistar']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
