source,target,matchup_games,source_wins,source_win_rate,source_win_rate_smoothed,counter_score,weight
Lucian,Ezreal,44,32,0.7272727272727273,0.7040816326530612,0.20408163265306123,8.979591836734695
Seraphine,Jayce,41,30,0.7317073170731707,0.7065217391304348,0.2065217391304348,8.467391304347828
Milio,Ezreal,40,29,0.725,0.7,0.19999999999999996,7.999999999999998
Bard,Aurora,41,29,0.7073170731707317,0.6847826086956522,0.18478260869565222,7.576086956521741
Ashe,Xin Zhao,58,37,0.6379310344827587,0.626984126984127,0.12698412698412698,7.365079365079365
Caitlyn,Lucian,42,29,0.6904761904761905,0.6702127659574468,0.17021276595744683,7.148936170212767
Caitlyn,Milio,36,26,0.7222222222222222,0.6951219512195121,0.19512195121951215,7.024390243902437
Seraphine,Ezreal,49,32,0.6530612244897959,0.6388888888888888,0.13888888888888884,6.805555555555554
Ashe,Jayce,47,31,0.6595744680851063,0.6442307692307693,0.14423076923076927,6.778846153846156
Jarvan IV,Milio,45,30,0.6666666666666666,0.65,0.15000000000000002,6.750000000000001
Seraphine,Wukong,33,24,0.7272727272727273,0.6973684210526315,0.19736842105263153,6.513157894736841
Seraphine,Xin Zhao,60,37,0.6166666666666667,0.6076923076923076,0.10769230769230764,6.461538461538458
Bard,Pantheon,52,33,0.6346153846153846,0.6228070175438597,0.1228070175438597,6.385964912280704
Jarvan IV,Aurora,48,31,0.6458333333333334,0.6320754716981132,0.13207547169811318,6.3396226415094326
Bard,Jhin,42,28,0.6666666666666666,0.648936170212766,0.14893617021276595,6.25531914893617
Akali,Orianna,40,27,0.675,0.6555555555555556,0.15555555555555556,6.222222222222222
Lee Sin,Wukong,23,19,0.8260869565217391,0.7678571428571429,0.2678571428571429,6.1607142857142865
Bard,Karma,61,37,0.6065573770491803,0.5984848484848485,0.09848484848484851,6.007575757575759
Sion,Xin Zhao,57,35,0.6140350877192983,0.6048387096774194,0.10483870967741937,5.975806451612904
Ezreal,Nautilus,49,31,0.6326530612244898,0.6203703703703703,0.12037037037037035,5.898148148148147
Ashe,Mel,45,29,0.6444444444444445,0.63,0.13,5.8500000000000005
Xin Zhao,Mel,22,18,0.8181818181818182,0.7592592592592593,0.2592592592592593,5.703703703703704
Ashe,Ezreal,64,38,0.59375,0.5869565217391305,0.08695652173913049,5.565217391304351
Ezreal,Neeko,29,21,0.7241379310344828,0.6911764705882353,0.19117647058823528,5.544117647058823
Seraphine,Sion,40,26,0.65,0.6333333333333333,0.1333333333333333,5.333333333333332
Bard,Sion,40,26,0.65,0.6333333333333333,0.1333333333333333,5.333333333333332
Annie,Jayce,32,22,0.6875,0.6621621621621622,0.16216216216216217,5.1891891891891895
Anivia,Rumble,28,20,0.7142857142857143,0.6818181818181818,0.18181818181818177,5.09090909090909
Bard,Renekton,28,20,0.7142857142857143,0.6818181818181818,0.18181818181818177,5.09090909090909
Ryze,Xin Zhao,59,35,0.5932203389830508,0.5859375,0.0859375,5.0703125
Pantheon,Xin Zhao,55,33,0.6,0.5916666666666667,0.09166666666666667,5.041666666666667
Nocturne,Ezreal,45,28,0.6222222222222222,0.61,0.10999999999999999,4.949999999999999
Kai'Sa,Ezreal,43,27,0.627906976744186,0.6145833333333334,0.11458333333333337,4.927083333333335
Caitlyn,Xin Zhao,41,26,0.6341463414634146,0.6195652173913043,0.11956521739130432,4.902173913043478
Rumble,Lucian,35,23,0.6571428571428571,0.6375,0.13749999999999996,4.812499999999998
Bard,Nautilus,33,22,0.6666666666666666,0.6447368421052632,0.14473684210526316,4.776315789473684
Rumble,Milio,33,22,0.6666666666666666,0.6447368421052632,0.14473684210526316,4.776315789473684
Bard,Orianna,31,21,0.6774193548387096,0.6527777777777778,0.1527777777777778,4.736111111111112
Caitlyn,Renekton,25,18,0.72,0.6833333333333333,0.18333333333333335,4.583333333333334
Annie,Jarvan IV,25,18,0.72,0.6833333333333333,0.18333333333333335,4.583333333333334
Karma,Orianna,25,18,0.72,0.6833333333333333,0.18333333333333335,4.583333333333334
Jarvan IV,Lucian,52,31,0.5961538461538461,0.5877192982456141,0.08771929824561409,4.5614035087719325
Ezreal,Orianna,44,27,0.6136363636363636,0.6020408163265306,0.10204081632653061,4.4897959183673475
K'Sante,Nautilus,42,26,0.6190476190476191,0.6063829787234043,0.1063829787234043,4.468085106382981
Yunara,Nami,40,25,0.625,0.6111111111111112,0.11111111111111116,4.444444444444446
Nocturne,Jhin,21,16,0.7619047619047619,0.7115384615384616,0.21153846153846156,4.4423076923076925
Bard,Skarner,21,16,0.7619047619047619,0.7115384615384616,0.21153846153846156,4.4423076923076925
Bard,Naafiri,21,16,0.7619047619047619,0.7115384615384616,0.21153846153846156,4.4423076923076925
Anivia,Jarvan IV,21,16,0.7619047619047619,0.7115384615384616,0.21153846153846156,4.4423076923076925
Ahri,Jarvan IV,36,23,0.6388888888888888,0.6219512195121951,0.12195121951219512,4.390243902439025
Jayce,Aurora,34,22,0.6470588235294118,0.6282051282051282,0.1282051282051282,4.358974358974359
Galio,Rumble,30,20,0.6666666666666666,0.6428571428571429,0.1428571428571429,4.285714285714287
Xin Zhao,Jarvan IV,89,49,0.550561797752809,0.5478723404255319,0.0478723404255319,4.260638297872339
Ezreal,Ambessa,28,19,0.6785714285714286,0.6515151515151515,0.1515151515151515,4.242424242424242
Cassiopeia,Milio,28,19,0.6785714285714286,0.6515151515151515,0.1515151515151515,4.242424242424242
Aurora,Renekton,28,19,0.6785714285714286,0.6515151515151515,0.1515151515151515,4.242424242424242
Lee Sin,Renekton,26,18,0.6923076923076923,0.6612903225806451,0.16129032258064513,4.193548387096773
Akali,Xin Zhao,26,18,0.6923076923076923,0.6612903225806451,0.16129032258064513,4.193548387096773
Nocturne,Aurora,26,18,0.6923076923076923,0.6612903225806451,0.16129032258064513,4.193548387096773
Bard,Lulu,26,18,0.6923076923076923,0.6612903225806451,0.16129032258064513,4.193548387096773
Nocturne,Sion,24,17,0.7083333333333334,0.6724137931034483,0.1724137931034483,4.137931034482759
Ahri,Sion,24,17,0.7083333333333334,0.6724137931034483,0.1724137931034483,4.137931034482759
Xin Zhao,Rumble,55,32,0.5818181818181818,0.575,0.07499999999999996,4.124999999999997
Bard,Neeko,51,30,0.5882352941176471,0.5803571428571429,0.0803571428571429,4.098214285714288
Gnar,Renekton,51,30,0.5882352941176471,0.5803571428571429,0.0803571428571429,4.098214285714288
Nautilus,Karma,49,29,0.5918367346938775,0.5833333333333334,0.08333333333333337,4.083333333333335
Xin Zhao,Jayce,49,29,0.5918367346938775,0.5833333333333334,0.08333333333333337,4.083333333333335
Twisted Fate,Aurora,22,16,0.7272727272727273,0.6851851851851852,0.18518518518518523,4.074074074074075
Ahri,Neeko,22,16,0.7272727272727273,0.6851851851851852,0.18518518518518523,4.074074074074075
