source,target,games_together,wins_together,pair_win_rate,pair_win_rate_smoothed,synergy_score,weight
Ashe,Seraphine,240,138,0.575,0.573469387755102,0.07346938775510203,17.632653061224488
Bard,Caitlyn,99,62,0.6262626262626263,0.6201923076923077,0.12019230769230771,11.899038461538463
Rakan,Xayah,50,34,0.68,0.6636363636363637,0.1636363636363637,8.181818181818185
Pantheon,Seraphine,30,23,0.7666666666666667,0.7285714285714285,0.22857142857142854,6.857142857142856
Bard,K'Sante,40,27,0.675,0.6555555555555556,0.15555555555555556,6.222222222222222
Ashe,Pantheon,30,22,0.7333333333333333,0.7,0.19999999999999996,5.999999999999998
Lucian,Nami,39,26,0.6666666666666666,0.6477272727272727,0.1477272727272727,5.761363636363636
Bard,Gnar,37,25,0.6756756756756757,0.6547619047619048,0.15476190476190477,5.726190476190476
Caitlyn,Gnar,34,23,0.6764705882352942,0.6538461538461539,0.15384615384615385,5.230769230769231
Anivia,Ezreal,32,22,0.6875,0.6621621621621622,0.16216216216216217,5.1891891891891895
Anivia,Sion,26,19,0.7307692307692307,0.6935483870967742,0.19354838709677424,5.03225806451613
Cassiopeia,Lucian,24,18,0.75,0.7068965517241379,0.2068965517241379,4.96551724137931
Jarvan IV,Seraphine,41,26,0.6341463414634146,0.6195652173913043,0.11956521739130432,4.902173913043478
Aatrox,Ashe,20,16,0.8,0.74,0.24,4.8
Corki,Nocturne,18,15,0.8333333333333334,0.7608695652173914,0.26086956521739135,4.695652173913045
Ashe,Xin Zhao,76,43,0.5657894736842105,0.5617283950617284,0.06172839506172845,4.691358024691362
Anivia,Lucian,29,20,0.6896551724137931,0.6617647058823529,0.16176470588235292,4.691176470588235
Gnar,Ryze,36,23,0.6388888888888888,0.6219512195121951,0.12195121951219512,4.390243902439025
Seraphine,Viktor,34,22,0.6470588235294118,0.6282051282051282,0.1282051282051282,4.358974358974359
Akali,Jarvan IV,19,15,0.7894736842105263,0.7291666666666666,0.22916666666666663,4.354166666666666
Bard,Viktor,32,21,0.65625,0.6351351351351351,0.1351351351351351,4.324324324324323
Jarvan IV,Yunara,30,20,0.6666666666666666,0.6428571428571429,0.1428571428571429,4.285714285714287
Gnar,Nocturne,30,20,0.6666666666666666,0.6428571428571429,0.1428571428571429,4.285714285714287
Ryze,Vi,30,20,0.6666666666666666,0.6428571428571429,0.1428571428571429,4.285714285714287
Annie,Seraphine,28,19,0.6785714285714286,0.6515151515151515,0.1515151515151515,4.242424242424242
