champion,games,win_rate,pick_rate,ban_rate,data_source
Orianna,832.0,0.53,0.17376173999011368,0.6712382600098863,golgg_scraped
Varus,847.0,0.5,0.19775994020926754,0.5832400597907323,golgg_scraped
Rumble,1193.0,0.54,0.35391552062868364,0.5520844793713162,golgg_scraped
Jarvan IV,1239.0,0.53,0.31407784431137725,0.44792215568862276,golgg_scraped
Karma,837.0,0.47,0.23918811506434517,0.5158118849356548,golgg_scraped
Nautilus,1005.0,0.47,0.16232868975903614,0.26667131024096385,golgg_scraped
Ryze,1357.0,0.51,0.41395663650075415,0.39504336349924585,golgg_scraped
Pantheon,1045.0,0.49,0.30513272410791986,0.36586727589208,golgg_scraped
Ambessa,991.0,0.49,0.2576512955643391,0.334348704435661,golgg_scraped
Nocturne,656.0,0.53,0.18324528301886792,0.4237547169811321,golgg_scraped
Bard,993.0,0.57,0.25076218951241946,0.29823781048758047,golgg_scraped
Ezreal,1303.0,0.49,0.3937257831325301,0.23327421686746988,golgg_scraped
Xin Zhao,1411.0,0.49,0.3297588454376164,0.17224115456238362,golgg_scraped
Vi,969.0,0.53,0.2798206470028544,0.32717935299714557,golgg_scraped
Neeko,870.0,0.51,0.2800298953662182,0.3659701046337817,golgg_scraped
Jayce,657.0,0.49,0.24961166579085653,0.4733883342091434,golgg_scraped
Sion,1137.0,0.49,0.3606742826780021,0.23632571732199786,golgg_scraped
Yunara,1293.0,0.49,0.4808343750000001,0.23316562500000004,golgg_scraped
Azir,801.0,0.46,0.27909407665505226,0.3209059233449477,golgg_scraped
Akali,530.0,0.54,0.0762855484619849,0.17171445153801507,golgg_scraped
Ashe,840.0,0.58,0.3603072983354674,0.30969270166453267,golgg_scraped
Aurora,933.0,0.45,0.35413138686131385,0.2698686131386861,golgg_scraped
K'Sante,1111.0,0.43,0.2754486934353091,0.11355130656469088,golgg_scraped
Caitlyn,658.0,0.55,0.22505641748942173,0.2599435825105783,golgg_scraped
Wukong,979.0,0.44,0.25233289386947927,0.13866710613052077,golgg_scraped
Gnar,924.0,0.55,0.27756521739130435,0.17843478260869566,golgg_scraped
Lulu,896.0,0.47,0.3423593854375418,0.22964061456245827,golgg_scraped
Seraphine,815.0,0.54,0.39538433647570703,0.273615663524293,golgg_scraped
Renekton,848.0,0.5,0.4850951008645533,0.30890489913544666,golgg_scraped
Corki,1031.0,0.48,0.4101173431734318,0.12888265682656827,golgg_scraped
Ahri,823.0,0.54,0.3285765151515152,0.19842348484848488,golgg_scraped
Lucian,625.0,0.51,0.3095186470078058,0.2614813529921943,golgg_scraped
Gwen,362.0,0.57,0.06750338164251207,0.12549661835748793,golgg_scraped
Nami,799.0,0.49,0.3068823529411765,0.13711764705882354,golgg_scraped
Anivia,536.0,0.55,0.1300019249278152,0.1219980750721848,golgg_scraped
Taliyah,641.0,0.48,0.2372932692307692,0.14770673076923077,golgg_scraped
Alistar,652.0,0.55,0.3343589743589744,0.18564102564102564,golgg_scraped
Cassiopeia,406.0,0.54,0.2045667034178611,0.2524332965821389,golgg_scraped
Sivir,614.0,0.51,0.11259777102330294,0.06840222897669707,golgg_scraped
Malphite,188.0,0.53,0.0653711467324291,0.2166288532675709,golgg_scraped
Dr. Mundo,429.0,0.48,0.1873511972633979,0.195648802736602,golgg_scraped
Syndra,403.0,0.48,0.1401093366093366,0.1428906633906634,golgg_scraped
Poppy,241.0,0.56,0.06401562499999999,0.139984375,golgg_scraped
Aatrox,545.0,0.5,0.21102906976744185,0.12197093023255813,golgg_scraped
LeBlanc,249.0,0.5,0.08652254641909814,0.17547745358090186,golgg_scraped
Annie,471.0,0.54,0.34595087719298245,0.28204912280701755,golgg_scraped
Kai'Sa,505.0,0.53,0.1571377672209026,0.1048622327790974,golgg_scraped
Rakan,621.0,0.52,0.2957477375565611,0.12525226244343893,golgg_scraped
Jhin,690.0,0.44,0.191753986332574,0.05224601366742596,golgg_scraped
Naafiri,390.0,0.49,0.15262962962962964,0.1643703703703704,golgg_scraped
Viktor,563.0,0.49,0.2716802325581395,0.14331976744186045,golgg_scraped
Rell,539.0,0.46,0.26705317769131,0.11494682230869002,golgg_scraped
Zaahen,508.0,0.54,0.21848735019973367,0.1045126498002663,golgg_scraped
Lee Sin,406.0,0.55,0.21653333333333333,0.15946666666666667,golgg_scraped
Galio,436.0,0.45,0.10930532212885154,0.06969467787114846,golgg_scraped
Vayne,181.0,0.64,0.026293918918918916,0.059706081081081074,golgg_scraped
Ornn,404.0,0.48,0.18063461538461537,0.0983653846153846,golgg_scraped
Leona,414.0,0.47,0.23014696485623,0.11785303514376996,golgg_scraped
