champion,opgg_key,opgg_patch,opgg_region,opgg_rank_tier,position,opgg_tier_raw,opgg_tier_label,opgg_rank,opgg_win_rate,opgg_pick_rate,opgg_ban_rate,opgg_role_rate,data_source,leaguepedia_patch
Senna,senna,16.09,global,platinum_plus,ADC,0,OP,1,0.545813,0.170228,0.189716,0.702253,opgg_scraped,26.09
Fizz,fizz,16.09,global,platinum_plus,MID,1,Tier 1,1,0.521124,0.0622372,0.0990809,0.879708,opgg_scraped,26.09
Garen,garen,16.09,global,platinum_plus,TOP,1,Tier 1,1,0.517491,0.0898312,0.0805031,0.929271,opgg_scraped,26.09
Nocturne,nocturne,16.09,global,platinum_plus,JUNGLE,1,Tier 1,1,0.515918,0.075452,0.172065,0.976593,opgg_scraped,26.09
Thresh,thresh,16.09,global,platinum_plus,SUPPORT,1,Tier 1,1,0.515733,0.130501,0.0719557,0.995906,opgg_scraped,26.09
Xerath,xerath,16.09,global,platinum_plus,MID,1,Tier 1,2,0.519995,0.0517914,0.102009,0.532265,opgg_scraped,26.09
Seraphine,seraphine,16.09,global,platinum_plus,SUPPORT,1,Tier 1,2,0.518185,0.11261499999999999,0.0881068,0.869587,opgg_scraped,26.09
Briar,briar,16.09,global,platinum_plus,JUNGLE,1,Tier 1,2,0.516859,0.0536025,0.11006,0.896677,opgg_scraped,26.09
Jinx,jinx,16.09,global,platinum_plus,ADC,1,Tier 1,2,0.515271,0.118196,0.0283623,0.995788,opgg_scraped,26.09
Malphite,malphite,16.09,global,platinum_plus,TOP,1,Tier 1,2,0.511718,0.0718112,0.18876400000000002,0.74396,opgg_scraped,26.09
Senna,senna,16.09,global,platinum_plus,SUPPORT,1,Tier 1,3,0.521374,0.0721575,0.189695,0.288866,opgg_scraped,26.09
Shyvana,shyvana,16.09,global,platinum_plus,JUNGLE,1,Tier 1,3,0.519639,0.0461836,0.0596615,0.954834,opgg_scraped,26.09
Sett,sett,16.09,global,platinum_plus,TOP,1,Tier 1,3,0.513651,0.0555521,0.027550399999999996,0.92223,opgg_scraped,26.09
Ahri,ahri,16.09,global,platinum_plus,MID,1,Tier 1,3,0.508061,0.096989,0.0395817,0.963079,opgg_scraped,26.09
Ashe,ashe,16.09,global,platinum_plus,ADC,1,Tier 1,3,0.504139,0.11885300000000001,0.0801349,0.90997,opgg_scraped,26.09
Warwick,warwick,16.09,global,platinum_plus,JUNGLE,1,Tier 1,4,0.520711,0.0406629,0.0279105,0.739058,opgg_scraped,26.09
Leona,leona,16.09,global,platinum_plus,SUPPORT,1,Tier 1,4,0.519937,0.08232520000000002,0.08664920000000001,0.995144,opgg_scraped,26.09
Sylas,sylas,16.09,global,platinum_plus,MID,1,Tier 1,4,0.506619,0.0849176,0.161041,0.46576,opgg_scraped,26.09
Caitlyn,caitlyn,16.09,global,platinum_plus,ADC,1,Tier 1,4,0.490502,0.17120999999999997,0.231518,0.982502,opgg_scraped,26.09
Wukong,monkeyking,16.09,global,platinum_plus,JUNGLE,1,Tier 1,5,0.518059,0.0485719,0.0148718,0.784801,opgg_scraped,26.09
Syndra,syndra,16.09,global,platinum_plus,MID,1,Tier 1,5,0.514503,0.0669551,0.036596,0.921311,opgg_scraped,26.09
Jhin,jhin,16.09,global,platinum_plus,ADC,1,Tier 1,5,0.49349,0.154656,0.0171992,0.976393,opgg_scraped,26.09
Nasus,nasus,16.09,global,platinum_plus,JUNGLE,1,Tier 1,6,0.527592,0.0211716,0.0460108,0.362259,opgg_scraped,26.09
Viktor,viktor,16.09,global,platinum_plus,MID,1,Tier 1,6,0.504124,0.0907874,0.10028100000000001,0.937316,opgg_scraped,26.09
Katarina,katarina,16.09,global,platinum_plus,MID,1,Tier 1,7,0.506418,0.0701862,0.10564400000000002,0.902068,opgg_scraped,26.09
Naafiri,naafiri,16.09,global,platinum_plus,JUNGLE,1,Tier 1,7,0.506001,0.0651952,0.315894,0.63987,opgg_scraped,26.09
Diana,diana,16.09,global,platinum_plus,MID,1,Tier 1,8,0.514288,0.0452718,0.0634156,0.468817,opgg_scraped,26.09
Kayn,kayn,16.09,global,platinum_plus,JUNGLE,1,Tier 1,8,0.50401,0.08382640000000001,0.0580686,0.949839,opgg_scraped,26.09
Vladimir,vladimir,16.09,global,platinum_plus,MID,1,Tier 1,9,0.514658,0.04533580000000001,0.0625603,0.70134,opgg_scraped,26.09
Graves,graves,16.09,global,platinum_plus,JUNGLE,1,Tier 1,9,0.496738,0.11266899999999999,0.127412,0.970072,opgg_scraped,26.09
Malzahar,malzahar,16.09,global,platinum_plus,MID,1,Tier 1,10,0.504725,0.0675215,0.136374,0.874862,opgg_scraped,26.09
Master Yi,masteryi,16.09,global,platinum_plus,JUNGLE,1,Tier 1,10,0.503148,0.0697139,0.165707,0.854743,opgg_scraped,26.09
