match_id,date,patch,tournament,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,blue_win,data_source,red_win
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_1,2026-04-30 18:09:00,26.09,Arabian League 2nd Division 2026 Spring,Victorious Demons,Lunaris Esports (MENA Team),Victorious Demons,"[""Zoe"", ""Fiora"", ""Jarvan IV"", ""Ahri"", ""Aurora""]","[""Neeko"", ""Karma"", ""Orianna"", ""Ryze"", ""Sylas""]","[""Ambessa"", ""Ezreal"", ""Bard"", ""Galio"", ""Renekton""]","[""Nocturne"", ""Varus"", ""Nautilus"", ""LeBlanc"", ""Jax""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_1,2026-04-30 18:19:00,26.09,Arabian League 2nd Division 2026 Spring,Team Depressed,Pegasus Esports,Pegasus Esports,"[""Nautilus"", ""Zaahen"", ""Alistar"", ""Ezreal"", ""Caitlyn""]","[""Rek'Sai"", ""Anivia"", ""Lulu"", ""Akali"", ""Ambessa""]","[""Pantheon"", ""Corki"", ""Nami"", ""Gwen"", ""Syndra""]","[""Aatrox"", ""Sion"", ""Karma"", ""Yunara"", ""Mel""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_2,2026-04-30 18:56:00,26.09,Arabian League 2nd Division 2026 Spring,Lunaris Esports (MENA Team),Victorious Demons,Victorious Demons,"[""Neeko"", ""Sylas"", ""Karma"", ""Rakan"", ""Rell""]","[""Zoe"", ""Fiora"", ""Jarvan IV"", ""Leona"", ""Alistar""]","[""Orianna"", ""Xin Zhao"", ""Kai'Sa"", ""Thresh"", ""Gnar""]","[""Wukong"", ""Ryze"", ""Caitlyn"", ""Morgana"", ""Irelia""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_2,2026-04-30 19:05:00,26.09,Arabian League 2nd Division 2026 Spring,Pegasus Esports,Team Depressed,Team Depressed,"[""Rek'Sai"", ""Anivia"", ""Lulu"", ""Akali"", ""Caitlyn""]","[""Nautilus"", ""Zaahen"", ""Ashe"", ""Alistar"", ""Ahri""]","[""K'Sante"", ""Xin Zhao"", ""Ezreal"", ""Zoe"", ""Rakan""]","[""Ambessa"", ""Neeko"", ""Trundle"", ""Kai'Sa"", ""Annie""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_3,2026-04-30 19:55:00,26.09,Arabian League 2nd Division 2026 Spring,Team Depressed,Pegasus Esports,Pegasus Esports,"[""Zaahen"", ""Nautilus"", ""Rumble"", ""Lucian"", ""Orianna""]","[""Rek'Sai"", ""Anivia"", ""Lulu"", ""Caitlyn"", ""Olaf""]","[""Jarvan IV"", ""Sylas"", ""Bard"", ""Dr. Mundo"", ""Jhin""]","[""Nocturne"", ""Ornn"", ""Braum"", ""Cassiopeia"", ""Vayne""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League/2026 Season/Spring Split_Last Stand_1_1,2026-05-01 16:14:00,26.09,Arabian League 2026 Spring,One More Esports,JSK Esports,One More Esports,"[""Zaahen"", ""Nocturne"", ""Pantheon"", ""Nami"", ""Leona""]","[""Orianna"", ""Karma"", ""Xin Zhao"", ""Galio"", ""Viktor""]","[""Jarvan IV"", ""Tristana"", ""Lulu"", ""Gnar"", ""Mel""]","[""LeBlanc"", ""Ezreal"", ""Naafiri"", ""Thresh"", ""Ambessa""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League/2026 Season/Spring Split_Last Stand_1_2,2026-05-01 17:23:00,26.09,Arabian League 2026 Spring,One More Esports,JSK Esports,One More Esports,"[""Nocturne"", ""Pantheon"", ""Aurora"", ""Akali"", ""Syndra""]","[""Orianna"", ""Xin Zhao"", ""Karma"", ""Galio"", ""Rumble""]","[""Seraphine"", ""Ashe"", ""Wukong"", ""Annie"", ""Renekton""]","[""Nami"", ""Corki"", ""Skarner"", ""Ahri"", ""Jayce""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League/2026 Season/Spring Split_Last Stand_2_1,2026-05-01 18:39:00,26.09,Arabian League 2026 Spring,3BL Esports,GnG Amazigh,GnG Amazigh,"[""Caitlyn"", ""Nocturne"", ""Orianna"", ""Kled"", ""K'Sante""]","[""Pantheon"", ""Rell"", ""Neeko"", ""Akali"", ""Ahri""]","[""Xin Zhao"", ""Nautilus"", ""Kai'Sa"", ""Aurora"", ""Sion""]","[""Jarvan IV"", ""Yunara"", ""Braum"", ""Viktor"", ""Zaahen""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League/2026 Season/Spring Split_Last Stand_2_2,2026-05-01 19:37:00,26.09,Arabian League 2026 Spring,GnG Amazigh,3BL Esports,3BL Esports,"[""Rell"", ""Akali"", ""Pantheon"", ""Neeko"", ""Varus""]","[""Nocturne"", ""Orianna"", ""Karma"", ""Ezreal"", ""Sivir""]","[""Ryze"", ""K'Sante"", ""Naafiri"", ""Rakan"", ""Xayah""]","[""Syndra"", ""Wukong"", ""Gnar"", ""Corki"", ""Nami""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League/2026 Season/Spring Split_Last Stand_2_3,2026-05-01 20:29:00,26.09,Arabian League 2026 Spring,3BL Esports,GnG Amazigh,3BL Esports,"[""Nocturne"", ""Orianna"", ""Ezreal"", ""Qiyana"", ""Kha'Zix""]","[""Pantheon"", ""Rell"", ""Akali"", ""LeBlanc"", ""Sylas""]","[""Karma"", ""Galio"", ""Sivir"", ""Lissandra"", ""Lee Sin""]","[""Jhin"", ""Rumble"", ""Alistar"", ""Ahri"", ""Vi""]",[],[],1,leaguepedia_cargo_patch_range,0
