combo_size,composition,team_has_op,combo_contains_op,games,wins,example_matches,op_champions,win_rate,smoothed_win_rate,op_status_baseline_win_rate,lift_vs_op_status_baseline,lift_vs_global_50
2,Bard + Nocturne,True,True,6,6,"LCS/2026 Season/Spring Playoffs_Round 1_4_2, EMEA Masters/2026 Season/Spring Play-In_Round 5_2_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_6_1",Nocturne,1.0,0.7727272727272727,0.5314685314685315,0.24125874125874125,0.2727272727272727
2,Akali + Senna,True,True,4,4,"Rift Legends/2026 Season/Spring Split_Week 5_2_1, LIT/2026 Season/Spring Playoffs_Round 5_1_3, LCP/2026 Season/Split 2_Week 7_3_1",Senna,1.0,0.7222222222222222,0.5314685314685315,0.19075369075369075,0.2222222222222222
2,Nocturne + Rumble,True,True,4,4,"EMEA Masters/2026 Season/Spring Play-In_Round 3_4_1, EMEA Masters/2026 Season/Spring Play-In_Round 5_2_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_2_1",Nocturne,1.0,0.7222222222222222,0.5314685314685315,0.19075369075369075,0.2222222222222222
3,Bard + Caitlyn + Nocturne,True,True,4,4,"LCS/2026 Season/Spring Playoffs_Round 1_4_2, EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_3_2, EMEA Masters/2026 Season/Spring Main Event_Semifinals_2_1",Nocturne,1.0,0.7222222222222222,0.5314685314685315,0.19075369075369075,0.2222222222222222
2,Aatrox + Nocturne,True,True,3,3,"CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_1, EMEA Masters/2026 Season/Spring Play-In_Round 2_8_1, EMEA Masters/2026 Season/Spring Play-In_Round 4_3_1",Nocturne,1.0,0.6875,0.5314685314685315,0.15603146853146854,0.1875
3,Nocturne + Rakan + Ryze,True,True,3,3,"CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_1, Benelux Ascend Series/2026 Season/Spring Playoffs_Semifinals_2_3, EMEA Masters/2026 Season/Spring Main Event_Groups Day 3_3_1",Nocturne,1.0,0.6875,0.5314685314685315,0.15603146853146854,0.1875
2,Nocturne + Yunara,True,True,6,5,"NLC/2026 Season/Spring Playoffs_Round 3_1_3, Benelux Ascend Series/2026 Season/Spring Playoffs_Finals_1_2, Road Of Legends/2026 Season/Spring Playoffs_Finals_1_3",Nocturne,0.8333333333333334,0.6818181818181818,0.5314685314685315,0.1503496503496503,0.18181818181818177
2,Caitlyn + Nocturne,True,True,11,8,"LCS/2026 Season/Spring Playoffs_Round 1_4_2, EMEA Masters/2026 Season/Spring Play-In_Round 2_4_1, EMEA Masters/2026 Season/Spring Play-In_Round 3_6_1",Nocturne,0.7272727272727273,0.65625,0.5314685314685315,0.12478146853146854,0.15625
2,Alistar + Nocturne,True,True,5,4,"Arabian League/2026 Season/Summer Promotion_Round 2_1_1, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 2_2_1, EMEA Masters/2026 Season/Spring Play-In_Round 3_4_1",Nocturne,0.8,0.65,0.5314685314685315,0.11853146853146856,0.15000000000000002
2,Aurora + Senna,True,True,5,4,"Road Of Legends/2026 Season/Spring Split_Week 6_2_3, LES/2026 Season/Spring Split_Week 5_2_1, North American Challengers League/2026 Season/Spring Playoffs_Round 2_3_4",Senna,0.8,0.65,0.5314685314685315,0.11853146853146856,0.15000000000000002
2,Leona + Senna,True,True,5,4,"North American Challengers League/2026 Season/Spring Season_Week 7_4_3, LIT/2026 Season/Spring Playoffs_Round 5_1_3, Comic Con Baltics 2026_Finals_1_4",Senna,0.8,0.65,0.5314685314685315,0.11853146853146856,0.15000000000000002
2,Senna + Xin Zhao,True,True,5,4,"Rift Legends/2026 Season/Spring Split_Week 5_4_2, LCS/2026 Season/Spring Season_Week 6_3_2, LPL/2026 Season/Split 2_Week 7_3_1",Senna,0.8,0.65,0.5314685314685315,0.11853146853146856,0.15000000000000002
3,Jayce + Nautilus + Senna,True,True,5,4,"Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_3, LCS/2026 Season/Spring Season_Week 7_4_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 3_1_1",Senna,0.8,0.65,0.5314685314685315,0.11853146853146856,0.15000000000000002
3,Nautilus + Senna + Wukong,True,True,5,4,"Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_3, LIT/2026 Season/Summer Promotion_Round 4_1_1, LIT/2026 Season/Summer Promotion_Finals_1_1",Senna,0.8,0.65,0.5314685314685315,0.11853146853146856,0.15000000000000002
3,Aatrox + Ashe + Nocturne,True,True,2,2,"EMEA Masters/2026 Season/Spring Play-In_Round 2_8_1, EMEA Masters/2026 Season/Spring Play-In_Round 4_3_1",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Aatrox + Aurora + Senna,True,True,2,2,"Road Of Legends/2026 Season/Spring Split_Week 6_2_3, North American Challengers League/2026 Season/Spring Playoffs_Round 2_3_4",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Ahri + Ambessa + Nocturne,True,True,2,2,"Road Of Legends/2026 Season/Summer Promotion_Round 1_1_3, EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_1_1",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Akali + Jarvan IV + Senna,True,True,2,2,"LIT/2026 Season/Spring Playoffs_Round 5_1_3, LCP/2026 Season/Split 2_Week 7_3_1",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Akali + Senna + Seraphine,True,True,2,2,"Rift Legends/2026 Season/Spring Split_Week 5_2_1, LCP/2026 Season/Split 2_Week 7_3_1",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Alistar + Jayce + Senna,True,True,2,2,"Esports World Cup 2026/Online Qualifiers/Korea_Round 4_2_2, LPL/2026 Season/Split 2 Playoffs_Round 3_1_2",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Anivia + Jarvan IV + Senna,True,True,2,2,"Rift Legends/2026 Season/Spring Split_Week 6_4_2, PCS/2026 Season/Spring Season_Playoffs Round 4_1_1",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
