champion,games,wins,train_pick_rate,train_ban_rate,win_rate,pick_rate,ban_rate,golgg_prior_win_rate,golgg_prior_pick_rate,golgg_prior_ban_rate,golgg_prior_games,data_source
Aatrox,129,71,0.07997520148791072,0.04339739615623062,0.5436241610738255,0.081580270297213,0.044359717455389566,0.5,0.2110290697674418,0.1219709302325581,545.0,train_blended_with_golgg_prior
Ahri,248,123,0.15375077495350278,0.11655300681959083,0.4992537313432836,0.15589193527436027,0.11755570710163483,0.54,0.3285765151515152,0.1984234848484848,823.0,train_blended_with_golgg_prior
Akali,179,100,0.11097334159950403,0.25170489770613763,0.5567839195979899,0.11054850641104697,0.25072522292146987,0.54,0.0762855484619849,0.171714451538015,530.0,train_blended_with_golgg_prior
Akshan,0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,train_blended_with_golgg_prior
Alistar,104,56,0.06447613143211407,0.03037817730936144,0.5403225806451613,0.0677814938684504,0.03227974311868984,0.55,0.3343589743589744,0.1856410256410256,652.0,train_blended_with_golgg_prior
Ambessa,221,94,0.1370117792932424,0.13763174209547427,0.43070539419087134,0.13848929939454183,0.1400410129140926,0.49,0.2576512955643391,0.334348704435661,991.0,train_blended_with_golgg_prior
Amumu,16,11,0.009919404835709857,0.0030998140111593306,0.5833333333333334,0.011038987548479281,0.0034496836088997746,0.5,0.1013333333333333,0.0316666666666666,16.0,train_blended_with_golgg_prior
Anivia,205,124,0.12709237445753255,0.15313081215127092,0.6,0.12712800887847905,0.15274951714724047,0.55,0.1300019249278152,0.1219980750721848,536.0,train_blended_with_golgg_prior
Annie,228,122,0.14135151890886546,0.12585244885306882,0.535483870967742,0.14385732856329433,0.12776545159592184,0.54,0.3459508771929824,0.2820491228070175,471.0,train_blended_with_golgg_prior
Aphelios,48,24,0.029758214507129573,0.018598884066955982,0.4970588235294117,0.03190910609181499,0.02015458037481085,0.49,0.2053785123966942,0.1456214876033058,354.0,train_blended_with_golgg_prior
Ashe,337,189,0.20892746435213888,0.16119032858028517,0.5619047619047619,0.21078147334152442,0.163009096162456,0.58,0.3603072983354674,0.3096927016645326,840.0,train_blended_with_golgg_prior
Aurelion Sol,8,4,0.0049597024178549285,0.014879107253564786,0.6142857142857144,0.005270423724278979,0.015194977377986788,0.66,0.0303300970873786,0.0406699029126213,44.0,train_blended_with_golgg_prior
Aurora,288,138,0.17854928704277742,0.1754494730316181,0.4772727272727273,0.180699710800506,0.17660586176532378,0.45,0.3541313868613138,0.2698686131386861,933.0,train_blended_with_golgg_prior
Azir,121,48,0.0750154990700558,0.08121512709237445,0.40567375886524826,0.07751493051628967,0.08415071553392466,0.46,0.2790940766550522,0.3209059233449477,801.0,train_blended_with_golgg_prior
Bard,362,204,0.22442653440793553,0.22752634841909486,0.5638743455497383,0.2247490776425281,0.22839237979776583,0.57,0.2507621895124194,0.2982378104875804,993.0,train_blended_with_golgg_prior
Bel'Veth,5,2,0.0030998140111593306,0.0043397396156230625,0.48,0.003061849357011635,0.004286589099816289,0.5,0.0,0.0,,train_blended_with_golgg_prior
Belveth,0,0,0.0,0.0,0.17,0.0009797917942437233,0.003919167176974893,0.17,0.08,0.32,6.0,train_blended_with_golgg_prior
Blitzcrank,14,8,0.008679479231246125,0.0043397396156230625,0.5352941176470588,0.008842620943049601,0.004482547458665034,0.51,0.022,0.016,55.0,train_blended_with_golgg_prior
Brand,19,6,0.011779293242405457,0.0049597024178549285,0.28205128205128205,0.016411512553582364,0.005695039804041641,0.25,0.39,0.065,12.0,train_blended_with_golgg_prior
Braum,65,31,0.040297582145071294,0.03161810291382517,0.47058823529411764,0.0412843407959924,0.03278791884883307,0.45,0.1208664259927797,0.1271335740072202,270.0,train_blended_with_golgg_prior
Briar,0,0,0.0,0.0,0.0,0.0017496282040066478,0.004374070510016621,0.0,0.1428571428571428,0.3571428571428571,2.0,train_blended_with_golgg_prior
Caitlyn,273,149,0.16924984500929943,0.19714817110973343,0.5460750853242321,0.16993333028156057,0.19791725146981726,0.55,0.2250564174894217,0.2599435825105783,658.0,train_blended_with_golgg_prior
Camille,39,10,0.02417854928704278,0.010539367637941723,0.3050847457627119,0.02549642309536355,0.011245769188776067,0.4,0.1317829457364341,0.0682170542635658,85.0,train_blended_with_golgg_prior
Cassiopeia,218,120,0.1351518908865468,0.16367017978921264,0.5495798319327732,0.13600204168301117,0.16475729695752775,0.54,0.2045667034178611,0.2524332965821389,406.0,train_blended_with_golgg_prior
Cho'Gath,24,9,0.014879107253564786,0.011159330440173589,0.4318181818181818,0.014696876913655848,0.011022657685241886,0.5,0.0,0.0,,train_blended_with_golgg_prior
Chogath,0,0,0.0,0.0,0.33,0.0014482547458665022,0.0006582976117575003,0.33,0.1182499999999999,0.0537499999999999,33.0,train_blended_with_golgg_prior
Corki,179,88,0.11097334159950403,0.034097954122752634,0.49045226130653263,0.11463707707499611,0.0352588200468655,0.48,0.4101173431734318,0.1288826568265682,1031.0,train_blended_with_golgg_prior
Darius,12,4,0.007439553626782393,0.008059516429014259,0.40625,0.008446401085715231,0.009483788748944903,0.45,0.0896486486486486,0.1243513513513513,31.0,train_blended_with_golgg_prior
Diana,3,2,0.0018598884066955983,0.0018598884066955983,0.5217391304347826,0.002697290462140431,0.0035243874313072104,0.5,0.0702337662337662,0.1377662337662337,26.0,train_blended_with_golgg_prior
Dr. Mundo,54,26,0.03347799132052077,0.0347179169249845,0.4810810810810811,0.035362537627230836,0.03668890144196696,0.48,0.1873511972633979,0.195648802736602,429.0,train_blended_with_golgg_prior
Draven,15,6,0.009299442033477991,0.016738995660260384,0.44571428571428573,0.010372683128778796,0.01806577369914527,0.48,0.0969295774647887,0.1250704225352112,31.0,train_blended_with_golgg_prior
Ekko,2,0,0.0012399256044637321,0.0018598884066955983,0.2818181818181818,0.001224739742804654,0.001837109614206981,0.31,0.0,0.0,13.0,train_blended_with_golgg_prior
Elise,15,5,0.009299442033477991,0.005579665220086794,0.41142857142857137,0.010883037354562154,0.006642988364972443,0.47,0.1386,0.0924,45.0,train_blended_with_golgg_prior
Evelynn,0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,train_blended_with_golgg_prior
Ezreal,453,224,0.28084314941103533,0.21078735275883448,0.49429175475687104,0.2822256678889471,0.21106275832048338,0.49,0.3937257831325301,0.2332742168674698,1303.0,train_blended_with_golgg_prior
Fiddlesticks,1,0,0.0006199628022318661,0.0,0.23809523809523808,0.000612369871402327,0.0,0.25,0.0,0.0,4.0,train_blended_with_golgg_prior
Fiora,17,7,0.010539367637941723,0.022318660880347178,0.42702702702702705,0.011250393075255292,0.024658976183777163,0.44,0.0685945945945945,0.2134054054054054,45.0,train_blended_with_golgg_prior
Fizz,5,2,0.0030998140111593306,0.0,0.3440000000000001,0.005161403201819612,0.0003499256408013289,0.33,0.1714285714285714,0.0285714285714285,6.0,train_blended_with_golgg_prior
Galio,114,57,0.07067575945443273,0.03967761934283943,0.4925373134328358,0.07114887106097798,0.04004525018825657,0.45,0.1093053221288515,0.0696946778711484,436.0,train_blended_with_golgg_prior
Gangplank,8,7,0.0049597024178549285,0.0018598884066955983,0.6214285714285713,0.006162241994164475,0.002619141961744893,0.52,0.1031470588235294,0.0638529411764705,21.0,train_blended_with_golgg_prior
Garen,5,1,0.0030998140111593306,0.0049597024178549285,0.376,0.003061849357011635,0.004898958971218616,0.42,0.0,0.0,12.0,train_blended_with_golgg_prior
Gnar,298,158,0.18474891506509608,0.1153130812151271,0.5314465408805031,0.1858856732074869,0.11608615777842861,0.55,0.2775652173913043,0.1784347826086956,924.0,train_blended_with_golgg_prior
Gragas,44,23,0.02727836329820211,0.005579665220086794,0.51875,0.032044003149330764,0.00682923628728895,0.51,0.4163928571428572,0.1076071428571428,89.0,train_blended_with_golgg_prior
Graves,7,4,0.0043397396156230625,0.009299442033477991,0.4148148148148148,0.006012058975929152,0.011538461538461536,0.36,0.1408846153846153,0.1921153846153845,11.0,train_blended_with_golgg_prior
Gwen,86,42,0.053316800991940486,0.09981401115933045,0.5037735849056604,0.05349054968331307,0.10012855625667469,0.57,0.067503381642512,0.1254966183574879,362.0,train_blended_with_golgg_prior
Hecarim,6,2,0.0037197768133911966,0.005579665220086794,0.1769230769230769,0.004374070510016621,0.007873326918029918,0.13,0.0571428571428571,0.1928571428571428,8.0,train_blended_with_golgg_prior
Heimerdinger,0,0,0.0,0.0018598884066955983,0.0,0.0,0.001837109614206981,0.0,0.0,0.0,1.0,train_blended_with_golgg_prior
Hwei,77,42,0.04773713577185369,0.019838809671419714,0.5237113402061855,0.04984141542567944,0.02065460417015644,0.44,0.2195515695067264,0.0864484304932735,160.0,train_blended_with_golgg_prior
Illaoi,6,3,0.0037197768133911966,0.0037197768133911966,0.46153846153846156,0.003674219228413962,0.003674219228413962,0.45,0.0,0.0,11.0,train_blended_with_golgg_prior
Irelia,29,18,0.017978921264724116,0.029758214507129573,0.5714285714285714,0.018359021243197087,0.030263146546147677,0.5,0.0490140845070422,0.0709859154929577,58.0,train_blended_with_golgg_prior
Ivern,7,4,0.0043397396156230625,0.011779293242405457,0.45925925925925926,0.005323881387069655,0.013818800792967087,0.42,0.0846949152542373,0.1783050847457627,19.0,train_blended_with_golgg_prior
Janna,2,2,0.0012399256044637321,0.0006199628022318661,0.43636363636363634,0.0027556644213104714,0.0021432945499081446,0.38,0.125,0.125,8.0,train_blended_with_golgg_prior
Jarvan IV,379,200,0.23496590204587725,0.38561686298822073,0.5278195488721804,0.2359348174441075,0.3863799406697933,0.53,0.3140778443113772,0.4479221556886227,1239.0,train_blended_with_golgg_prior
Jax,72,36,0.044637321760694355,0.04339739615623062,0.5,0.046348329274602786,0.04462533882092691,0.5,0.1843410852713178,0.1436589147286821,290.0,train_blended_with_golgg_prior
Jayce,241,111,0.14941103533787972,0.14879107253564786,0.46283524904214557,0.15063823228157816,0.15276654420341879,0.49,0.2496116657908565,0.4733883342091434,657.0,train_blended_with_golgg_prior
Jhin,256,116,0.1587104773713577,0.044637321760694355,0.45217391304347826,0.15911517435802294,0.04473050843438366,0.44,0.191753986332574,0.0522460136674259,690.0,train_blended_with_golgg_prior
Jinx,41,17,0.02541847489150651,0.0043397396156230625,0.43278688524590164,0.02748750567923671,0.0048578709282342016,0.47,0.1943548387096774,0.0466451612903225,125.0,train_blended_with_golgg_prior
K'Sante,297,138,0.18412895226286422,0.10167389956602604,0.4624605678233438,0.1852473814260295,0.10181936688995334,0.43,0.2754486934353091,0.1135513065646908,1111.0,train_blended_with_golgg_prior
Kai'Sa,126,71,0.07811531308121512,0.032238065716057036,0.558904109589041,0.07908313248280346,0.03312752275295894,0.53,0.1571377672209026,0.1048622327790974,505.0,train_blended_with_golgg_prior
Kalista,35,17,0.02169869807811531,0.022938623682579044,0.4727272727272727,0.024698957782150904,0.02495199139114977,0.45,0.2666699029126213,0.1873300970873786,121.0,train_blended_with_golgg_prior
Karma,292,134,0.18102913825170489,0.4513329200247985,0.45961538461538465,0.18174143435473786,0.45212261953381083,0.47,0.2391881150643451,0.5158118849356548,837.0,train_blended_with_golgg_prior
Karthus,5,2,0.0030998140111593306,0.0006199628022318661,0.3440000000000001,0.00612369871402327,0.003674219228413962,0.33,0.25,0.25,6.0,train_blended_with_golgg_prior
Kassadin,6,4,0.0037197768133911966,0.008059516429014259,0.40769230769230774,0.004067576816397103,0.008681963906199344,0.33,0.0321176470588235,0.0588823529411764,12.0,train_blended_with_golgg_prior
Katarina,2,1,0.0012399256044637321,0.0018598884066955983,0.5,0.001224739742804654,0.001837109614206981,0.5,0.0,0.0,0.0,train_blended_with_golgg_prior
Kayle,7,3,0.0043397396156230625,0.0037197768133911966,0.2740740740740741,0.004286589099816289,0.003674219228413962,0.22,0.0,0.0,9.0,train_blended_with_golgg_prior
Kayn,6,2,0.0037197768133911966,0.0012399256044637321,0.07692307692307693,0.003674219228413962,0.001224739742804654,0.0,0.0,0.0,1.0,train_blended_with_golgg_prior
Kennen,31,14,0.019218846869187848,0.011779293242405457,0.4431372549019608,0.020389409376491745,0.013156212178927726,0.43,0.1147952755905511,0.1242047244094488,122.0,train_blended_with_golgg_prior
Kha'Zix,14,9,0.008679479231246125,0.0049597024178549285,0.5588235294117647,0.008573178199632579,0.004898958971218616,0.5,0.0,0.0,,train_blended_with_golgg_prior
KhaZix,0,0,0.0,0.0,0.53,0.0008726270667483159,0.0002908756889161053,0.53,0.07125,0.02375,45.0,train_blended_with_golgg_prior
Kindred,8,0,0.0049597024178549285,0.0012399256044637321,0.1642857142857143,0.006006668027488602,0.002835952915560998,0.23,0.0904444444444444,0.1315555555555555,22.0,train_blended_with_golgg_prior
Kled,7,5,0.0043397396156230625,0.005579665220086794,0.5925925925925926,0.005788291917792031,0.006961248804804417,0.55,0.1226140350877193,0.1183859649122807,29.0,train_blended_with_golgg_prior
Kog'Maw,24,11,0.014879107253564786,0.011779293242405457,0.4772727272727273,0.014696876913655848,0.011635027556644213,0.5,0.0,0.0,,train_blended_with_golgg_prior
KogMaw,0,0,0.0,0.0,0.42000000000000004,0.0006406109290011157,0.0003146860703865132,0.42,0.0523058823529411,0.0256941176470588,57.0,train_blended_with_golgg_prior
LeBlanc,82,40,0.05083694978301302,0.10043397396156231,0.49019607843137253,0.05127400546747211,0.10135306128084387,0.5,0.0865225464190981,0.1754774535809018,249.0,train_blended_with_golgg_prior
Lee Sin,206,104,0.1277123372597644,0.09237445753254804,0.5088495575221239,0.12880016329863236,0.09319616248213922,0.55,0.2165333333333333,0.1594666666666666,406.0,train_blended_with_golgg_prior
Leona,86,38,0.053316800991940486,0.03037817730936144,0.44716981132075473,0.055482510286053034,0.031449516658221315,0.47,0.23014696485623,0.1178530351437699,414.0,train_blended_with_golgg_prior
Lillia,9,8,0.005579665220086794,0.005579665220086794,0.6206896551724138,0.00692449008431862,0.0077723868293372265,0.5,0.1153846153846153,0.1846153846153846,10.0,train_blended_with_golgg_prior
Lissandra,18,8,0.011159330440173589,0.009299442033477991,0.46842105263157896,0.012818942641355378,0.010132680138803838,0.49,0.1466666666666666,0.0773333333333333,55.0,train_blended_with_golgg_prior
Lucian,318,166,0.19714817110973343,0.1921884686918785,0.521301775147929,0.19852441698723583,0.19303712618484012,0.51,0.3095186470078058,0.2614813529921943,625.0,train_blended_with_golgg_prior
Lulu,279,129,0.17296962182269063,0.0929944203347799,0.462876254180602,0.17504420557792458,0.09466798058251634,0.47,0.3423593854375418,0.2296406145624582,896.0,train_blended_with_golgg_prior
Lux,36,20,0.022318660880347178,0.006199628022318661,0.5642857142857143,0.023607931768107528,0.007475962904274594,0.58,0.1275876288659794,0.1104123711340206,52.0,train_blended_with_golgg_prior
Malphite,53,29,0.0328580285182889,0.032238065716057036,0.5424657534246575,0.03325622959868254,0.03449637297327092,0.53,0.0653711467324291,0.2166288532675709,188.0,train_blended_with_golgg_prior
Malzahar,13,5,0.008059516429014259,0.0012399256044637321,0.45454545454545453,0.008645373384471588,0.001985367583072807,0.5,0.0558947368421052,0.0621052631578947,18.0,train_blended_with_golgg_prior
Maokai,60,26,0.037197768133911964,0.008059516429014259,0.45499999999999996,0.03983818590064763,0.009077919426970253,0.52,0.2527878787878788,0.0912121212121212,97.0,train_blended_with_golgg_prior
Master Yi,2,1,0.0012399256044637321,0.0,0.045454545454545456,0.001224739742804654,0.0,0.0,0.0,0.0,3.0,train_blended_with_golgg_prior
Mel,101,38,0.06261624302541847,0.056416615003099815,0.3785123966942148,0.06392612172928329,0.057837503500355415,0.39,0.1695678391959799,0.1724321608040201,296.0,train_blended_with_golgg_prior
Milio,301,150,0.18660880347179168,0.03161810291382517,0.4984423676012461,0.18955148691059398,0.03211415913962033,0.5,0.42687890625,0.07212109375,438.0,train_blended_with_golgg_prior
Miss Fortune,112,50,0.069435833849969,0.023558586484810913,0.45151515151515154,0.07125842008573179,0.024381506429883647,0.48,0.21825,0.09075,291.0,train_blended_with_golgg_prior
Mordekaiser,14,4,0.008679479231246125,0.0024798512089274642,0.32941176470588235,0.010264952031026741,0.0025703204735660332,0.36,0.1381333333333333,0.0098666666666666,28.0,train_blended_with_golgg_prior
Morgana,8,4,0.0049597024178549285,0.0024798512089274642,0.5571428571428572,0.006561105765024932,0.0032368121774122988,0.58,0.1357142857142857,0.0642857142857142,19.0,train_blended_with_golgg_prior
Naafiri,213,105,0.13205207687538748,0.1463112213267204,0.4927038626609442,0.13230409834206527,0.14653239890227032,0.49,0.1526296296296296,0.1643703703703704,390.0,train_blended_with_golgg_prior
Nami,244,123,0.15127092374457532,0.050216986980781156,0.503030303030303,0.15317675876229242,0.05128129390151652,0.49,0.3068823529411765,0.1371176470588235,799.0,train_blended_with_golgg_prior
Nasus,17,13,0.010539367637941723,0.012399256044637322,0.7621621621621621,0.01133409150555507,0.01347913568366722,0.76,0.0754285714285714,0.1005714285714285,21.0,train_blended_with_golgg_prior
Nautilus,325,153,0.2014879107253565,0.35151890886546805,0.47072463768115946,0.20100831218320925,0.35047974660429837,0.47,0.1623286897590361,0.2666713102409638,1005.0,train_blended_with_golgg_prior
Neeko,225,107,0.13949163050216987,0.09857408555486671,0.47836734693877553,0.14121285848580795,0.10184899087120369,0.51,0.2800298953662182,0.3659701046337817,870.0,train_blended_with_golgg_prior
Nidalee,11,7,0.006819590824550527,0.0049597024178549285,0.5806451612903226,0.009422841396203306,0.006511022657685242,0.55,0.219375,0.131625,40.0,train_blended_with_golgg_prior
Nilah,2,1,0.0012399256044637321,0.0,0.34545454545454546,0.001224739742804654,0.0,0.33,0.0,0.0,3.0,train_blended_with_golgg_prior
Nocturne,223,125,0.13825170489770613,0.44017358958462494,0.5580246913580247,0.13880275913066586,0.43997250112652947,0.53,0.1832452830188679,0.4237547169811321,656.0,train_blended_with_golgg_prior
Nunu & Willump,0,0,0.0,0.0,0.63,0.0,0.0,0.63,0.0,0.0,8.0,train_blended_with_golgg_prior
Nunu &amp; Willump,1,1,0.0006199628022318661,0.0012399256044637321,0.5238095238095238,0.000612369871402327,0.001224739742804654,0.5,0.0,0.0,,train_blended_with_golgg_prior
Olaf,63,36,0.03905765654060756,0.048977061376317424,0.563855421686747,0.03972474921244184,0.04987721037114665,0.54,0.0935257731958763,0.1224742268041237,126.0,train_blended_with_golgg_prior
Orianna,221,108,0.1370117792932424,0.666460012399256,0.4921161825726141,0.13746187066736207,0.666518533496753,0.53,0.1737617399901136,0.6712382600098863,832.0,train_blended_with_golgg_prior
Ornn,134,69,0.08307501549907005,0.04215747055176689,0.5103896103896104,0.08426986669178953,0.042845871213905505,0.48,0.1806346153846153,0.0983653846153846,404.0,train_blended_with_golgg_prior
