champion,synergy_degree,synergy_degree_centrality,synergy_weighted_degree,synergy_betweenness,synergy_closeness,synergy_eigenvector,synergy_pagerank,counter_in_degree,counter_out_degree,counter_weighted_in_degree,counter_weighted_out_degree,counter_in_degree_centrality,counter_out_degree_centrality,counter_pagerank,counter_betweenness,counter_hits_hub,counter_hits_authority
Ashe,43.0,0.3307692307692308,91.26856552277872,0.015636221799096964,0.5726872246696035,0.3648635187718329,0.031701770882257216,26.0,59.0,21.154091013956283,102.23151034475147,0.17687074829931973,0.4013605442176871,0.006750629876178684,0.011009393931162004,0.041047133593384195,0.006848305889883069
Seraphine,40.0,0.3076923076923077,82.2461803849175,0.014913723124293007,0.5603448275862069,0.35318419154928743,0.02847968178809625,28.0,58.0,26.25130130642124,96.5611418952097,0.19047619047619047,0.3945578231292517,0.007609135451140075,0.013248418988928139,0.040871919689668045,0.00817283141860335
Bard,48.0,0.36923076923076925,86.864323249832,0.024462537031075496,0.5990783410138248,0.26195547247428647,0.031311603031012054,18.0,66.0,23.557556913502037,114.52801746400196,0.12244897959183673,0.4489795918367347,0.004394193458677552,0.011045719538786447,0.043737158616629405,0.009513811001856673
Caitlyn,40.0,0.3076923076923077,60.879430707363134,0.03193646982828681,0.5603448275862069,0.20901978979830002,0.023218999361698817,29.0,54.0,28.24000928601558,78.8921829334218,0.19727891156462585,0.36734693877551017,0.013232736603620555,0.022340605318663,0.03225364888223406,0.007869228014163952
Rakan,34.0,0.26153846153846155,38.13166633203396,0.011443131502299026,0.5531914893617021,0.07982998670638437,0.014935296894396922,22.0,52.0,11.984596908939018,49.01673857188561,0.14965986394557823,0.35374149659863946,0.005487380112810489,0.010176971653510128,0.016761990138948097,0.0037868940999817753
Xayah,19.0,0.14615384615384616,18.040025706745656,0.002404769414278932,0.5019305019305019,0.03111885565192957,0.00765581296435549,24.0,28.0,13.326742701742699,22.355783105783104,0.16326530612244897,0.19047619047619047,0.0056236687204821315,0.0034429423682091906,0.007254036506495412,0.0037409660803914236
Pantheon,32.0,0.24615384615384617,42.286532162648356,0.0129432129646568,0.5327868852459017,0.18012063949157736,0.015746957580834116,40.0,35.0,40.398808781003844,31.91831234144004,0.27210884353741494,0.23809523809523808,0.012566368555195558,0.011219930205204186,0.012778654154883709,0.016762877515139073
K'Sante,27.0,0.2076923076923077,27.040071519498724,0.02341536863544857,0.5179282868525896,0.085763772773048,0.0118444753484653,55.0,33.0,66.3701872497983,25.67896715253595,0.37414965986394555,0.22448979591836735,0.019993647978646497,0.0227994086392639,0.008695571129469089,0.023418872964680877
Lucian,34.0,0.26153846153846155,46.08125450361903,0.018506859611561968,0.5508474576271186,0.11386995875146995,0.017853281104981737,28.0,52.0,47.59235508542621,61.8812050032325,0.19047619047619047,0.35374149659863946,0.01193355716113914,0.017098246045678646,0.023203345936057232,0.018297484191215976
Nami,30.0,0.23076923076923078,34.33584589710338,0.014930062909738967,0.5327868852459017,0.09250271809576319,0.013414760112034177,33.0,42.0,47.37890903074119,46.18058948584862,0.22448979591836735,0.2857142857142857,0.012963122349531519,0.010606292546850025,0.013885939319888685,0.01650015847819348
Gnar,34.0,0.26153846153846155,63.56830539071819,0.006844581203963473,0.5531914893617021,0.2267106195700706,0.022534061770781388,38.0,45.0,29.51219960594961,67.94771870144513,0.2585034013605442,0.30612244897959184,0.010599821093525098,0.02611078373190574,0.0245477618049497,0.00567185825515685
Anivia,54.0,0.4153846153846154,70.51189503018847,0.030816457658436568,0.6190476190476191,0.18725912815320014,0.026189761142298165,14.0,58.0,4.611607142857142,80.44069898648358,0.09523809523809523,0.3945578231292517,0.004043774655762792,0.00918967325925005,0.028127415435184468,0.0006571699015595858
Ezreal,29.0,0.2230769230769231,38.52199919376537,0.019609354007452756,0.5306122448979592,0.12009666782453993,0.0151715214412626,41.0,48.0,76.93740285079336,62.92889642182482,0.2789115646258503,0.32653061224489793,0.016708181413201004,0.015152861120940279,0.021830987123420506,0.032526592968627546
Sion,36.0,0.27692307692307694,38.96985739890366,0.03255278841543238,0.5555555555555556,0.13480101570012265,0.015900712581453317,45.0,51.0,68.22022300790452,50.43665803452487,0.30612244897959184,0.3469387755102041,0.018103086393004335,0.03353431311451183,0.018211533210909285,0.02860953676045977
Cassiopeia,38.0,0.2923076923076923,48.90923355259741,0.020589033024357262,0.5676855895196506,0.16075064216995888,0.018328925316361485,28.0,51.0,26.12176355995675,59.00670441780118,0.19047619047619047,0.3469387755102041,0.006350290596096146,0.008561478067169233,0.022754790611592125,0.010372768918208639
Jarvan IV,46.0,0.35384615384615387,60.4529434922858,0.03740217047782048,0.5829596412556054,0.19414359546421314,0.02309845294390854,30.0,56.0,46.58114157647578,87.52231122533007,0.20408163265306123,0.38095238095238093,0.01152145944556366,0.023655831273922585,0.031412908554244064,0.01934614390119611
Aatrox,39.0,0.30000000000000004,29.16432753459355,0.011098043555248618,0.5652173913043478,0.1146273130979307,0.011195359019000069,23.0,43.0,15.73037256860786,34.50585702566696,0.1564625850340136,0.2925170068027211,0.0053008489231903535,0.006019136770921088,0.01179885038904107,0.005276821248892983
Corki,22.0,0.16923076923076924,19.928032195615327,0.0023450705833794076,0.5038759689922481,0.057269971927847795,0.008074746887301257,45.0,33.0,39.48699261479833,30.201724092900573,0.30612244897959184,0.22448979591836735,0.011409674832331162,0.006767276003101432,0.010103527213301029,0.012345586992590625
Nocturne,39.0,0.30000000000000004,56.02358351248816,0.009807281700210807,0.5676855895196506,0.17961209919691187,0.02016409476866593,25.0,55.0,17.61228247026302,61.969047030213204,0.17006802721088435,0.37414965986394555,0.006922336048242745,0.017415745218368195,0.024357083636989345,0.006167734886394824
Xin Zhao,28.0,0.2153846153846154,39.206896756925545,0.01955996998586502,0.5327868852459017,0.1269541649940619,0.016138477385933898,61.0,34.0,95.3912448043021,47.412010453070565,0.4149659863945578,0.2312925170068027,0.02375249749243351,0.02271279361048476,0.016020729197635544,0.03661634535210162
Ryze,42.0,0.3230769230769231,58.67831164896266,0.018703971750753945,0.5603448275862069,0.20783461371185877,0.021376077699285904,30.0,53.0,38.363108929919626,68.98274345821866,0.20408163265306123,0.36054421768707484,0.009400823742643416,0.014870920608189958,0.023970329904748008,0.013134223843056
