source,target,teams_using_both,teams_using_pair_with_op_context
Ezreal,Xin Zhao,188,0
Ezreal,Jarvan IV,180,0
Jarvan IV,Xin Zhao,176,0
Ezreal,Sion,170,0
Sion,Xin Zhao,169,0
Bard,Xin Zhao,168,0
Ashe,Seraphine,167,0
Ezreal,Seraphine,166,0
Seraphine,Xin Zhao,164,0
Ezreal,Karma,164,0
Jarvan IV,Sion,163,0
Ezreal,Wukong,163,0
Ezreal,Ryze,163,0
Lucian,Milio,163,0
Bard,Ezreal,163,0
Jarvan IV,Seraphine,162,0
Karma,Xin Zhao,160,0
Ashe,Xin Zhao,159,0
Nautilus,Xin Zhao,158,0
Wukong,Xin Zhao,158,0
Ezreal,K'Sante,157,0
Ezreal,Nautilus,157,0
Ezreal,Rumble,156,0
Rumble,Xin Zhao,155,0
Seraphine,Sion,155,0
Jarvan IV,Nautilus,154,0
Jarvan IV,Karma,153,0
K'Sante,Xin Zhao,153,0
Ashe,Ezreal,153,0
Ryze,Xin Zhao,153,0
Jarvan IV,Ryze,153,0
Bard,Jarvan IV,151,0
Ezreal,Lucian,151,0
Nautilus,Sion,150,0
Ashe,Jarvan IV,150,0
Aurora,Xin Zhao,149,0
Jarvan IV,K'Sante,149,0
Ezreal,Milio,149,0
Ashe,Sion,149,0
Ezreal,Pantheon,149,0
Bard,Sion,148,0
Jarvan IV,Wukong,148,0
Ryze,Sion,148,0
Aurora,Ezreal,147,0
Lucian,Xin Zhao,147,0
Milio,Xin Zhao,147,0
Ahri,Xin Zhao,146,0
Aurora,Jarvan IV,144,0
Gnar,Xin Zhao,144,0
Lucian,Sion,144,0
Jarvan IV,Rumble,144,0
Ahri,Ezreal,143,0
Ezreal,Vi,143,0
K'Sante,Sion,143,0
Vi,Xin Zhao,143,0
Ryze,Seraphine,143,0
Pantheon,Xin Zhao,143,0
Rumble,Sion,143,0
Bard,Karma,142,0
Viktor,Xin Zhao,141,0
Xin Zhao,Yunara,141,0
Bard,Ryze,141,0
Jarvan IV,Milio,141,0
Milio,Sion,141,0
Karma,Sion,140,0
Sion,Wukong,140,0
Ezreal,Orianna,140,0
K'Sante,Ryze,140,0
Lucian,Ryze,140,0
Jarvan IV,Pantheon,140,0
Pantheon,Sion,140,0
Ezreal,Gnar,140,0
Orianna,Xin Zhao,139,0
Ahri,Jarvan IV,139,0
Ahri,Sion,139,0
Caitlyn,Ezreal,139,0
Nautilus,Seraphine,139,0
Jarvan IV,Lucian,139,0
Ezreal,Nocturne,138,38
Karma,Wukong,138,0
Seraphine,Wukong,138,0
Cassiopeia,Ezreal,138,0
Milio,Ryze,138,0
Rumble,Seraphine,138,0
Jarvan IV,Viktor,137,0
Ashe,Karma,137,0
Karma,Seraphine,137,0
Lulu,Xin Zhao,137,0
Caitlyn,Jarvan IV,136,0
Ashe,Ryze,136,0
Nautilus,Ryze,136,0
Rumble,Ryze,136,0
Caitlyn,Xin Zhao,135,0
Jarvan IV,Vi,135,0
K'Sante,Karma,135,0
Bard,Pantheon,135,0
Jarvan IV,Nocturne,134,38
Nautilus,Wukong,134,0
Karma,Ryze,134,0
Ezreal,Viktor,134,0
Jarvan IV,Orianna,133,0
K'Sante,Seraphine,133,0
Lucian,Seraphine,133,0
Bard,Rumble,133,0
Aurora,Sion,132,0
Cassiopeia,Xin Zhao,132,0
Jarvan IV,Yunara,132,0
Sion,Viktor,132,0
Aurora,K'Sante,132,0
Lucian,Rumble,132,0
Milio,Seraphine,132,0
K'Sante,Pantheon,132,0
Pantheon,Ryze,132,0
Bard,Seraphine,132,0
Ezreal,Yunara,131,0
Sion,Vi,131,0
Bard,K'Sante,131,0
Bard,Lucian,131,0
Bard,Milio,131,0
Pantheon,Seraphine,131,0
Seraphine,Vi,131,0
Seraphine,Viktor,131,0
Ambessa,Xin Zhao,130,0
Bard,Wukong,130,0
Gnar,Jarvan IV,130,0
Karma,Nautilus,130,0
Ezreal,Lulu,130,0
Karma,Rumble,130,0
Milio,Rumble,130,0
Ryze,Wukong,130,0
Ashe,Bard,130,0
Varus,Xin Zhao,130,0
Bard,Nautilus,129,0
Cassiopeia,Sion,129,0
Ezreal,Nami,129,0
Jarvan IV,Lulu,129,0
Lulu,Yunara,129,0
Ashe,Nautilus,129,0
Nautilus,Rumble,129,0
Ashe,Viktor,129,0
Ryze,Vi,129,0
Nocturne,Xin Zhao,128,35
Cassiopeia,Jarvan IV,128,0
Ashe,Wukong,128,0
Ambessa,Ezreal,128,0
Ahri,Bard,128,0
Karma,Pantheon,128,0
Ezreal,Renekton,128,0
Bard,Caitlyn,127,0
Gnar,Sion,127,0
Lulu,Sion,127,0
Ashe,Rumble,127,0
Aurora,Ryze,127,0
K'Sante,Rumble,127,0
Karma,Lucian,127,0
Milio,Wukong,127,0
Ashe,Pantheon,127,0
Ezreal,Jhin,127,0
Jarvan IV,Varus,127,0
Pantheon,Rumble,127,0
Rumble,Vi,127,0
Jayce,Xin Zhao,127,0
Aurora,Bard,126,0
Bard,Gnar,126,0
Ahri,Seraphine,126,0
Ashe,K'Sante,126,0
Lucian,Nautilus,126,0
Lucian,Wukong,126,0
Milio,Nautilus,126,0
Rumble,Wukong,126,0
Bard,Jhin,126,0
Jhin,Sion,126,0
Ezreal,Varus,126,0
Ezreal,Jayce,126,0
Jhin,Xin Zhao,126,0
Caitlyn,Karma,125,0
Caitlyn,Sion,125,0
Jarvan IV,Nami,125,0
Ahri,Karma,125,0
Ahri,Nautilus,125,0
Ashe,Milio,125,0
Jarvan IV,Jhin,125,0
Milio,Pantheon,125,0
Gnar,Rumble,125,0
Ambessa,Jarvan IV,124,0
Nami,Xin Zhao,124,0
Nautilus,Viktor,124,0
Neeko,Xin Zhao,124,0
Caitlyn,Seraphine,124,0
Renekton,Xin Zhao,124,0
K'Sante,Nautilus,124,0
K'Sante,Wukong,124,0
Ahri,Ryze,124,0
Aurora,Rumble,124,0
K'Sante,Lucian,124,0
Lucian,Pantheon,124,0
Orianna,Sion,124,0
Gnar,Seraphine,124,0
Nocturne,Sion,123,37
Bard,Viktor,123,0
Gnar,Nautilus,123,0
Jarvan IV,Neeko,123,0
Sion,Yunara,123,0
Orianna,Seraphine,123,0
Ahri,Wukong,123,0
Aurora,Seraphine,123,0
Caitlyn,Ryze,123,0
K'Sante,Milio,123,0
Ashe,Vi,123,0
Ezreal,Neeko,123,0
Ryze,Viktor,123,0
Nocturne,Ryze,122,36
Nocturne,Seraphine,122,32
Caitlyn,Wukong,122,0
Karma,Viktor,122,0
Ahri,Ashe,122,0
Ashe,Lucian,122,0
Cassiopeia,Ryze,122,0
Karma,Milio,122,0
Ezreal,Naafiri,122,0
Bard,Nocturne,121,33
Aurora,Karma,121,0
Aurora,Nautilus,121,0
Neeko,Sion,121,0
Jarvan IV,Renekton,121,0
Karma,Orianna,121,0
Nautilus,Vi,121,0
Aurora,Pantheon,121,0
Lucian,Vi,121,0
Gnar,Ryze,121,0
Nautilus,Nocturne,120,36
Viktor,Wukong,120,0
Ashe,Orianna,120,0
K'Sante,Vi,120,0
Ahri,Lucian,120,0
Lulu,Seraphine,120,0
Orianna,Pantheon,120,0
Rumble,Viktor,120,0
Karma,Nocturne,119,36
Aurora,Wukong,119,0
Gnar,Karma,119,0
Gnar,Wukong,119,0
Ahri,Milio,119,0
Aurora,Lucian,119,0
Aurora,Milio,119,0
Caitlyn,Rumble,119,0
Milio,Viktor,119,0
Pantheon,Wukong,119,0
Nautilus,Pantheon,119,0
Naafiri,Sion,119,0
Naafiri,Xin Zhao,119,0
Ashe,Gnar,119,0
Lucian,Nocturne,118,37
Milio,Nocturne,118,36
Bard,Cassiopeia,118,0
Cassiopeia,Karma,118,0
Ahri,K'Sante,118,0
Rumble,Yunara,118,0
Bard,Vi,118,0
Jhin,Karma,118,0
