match_id,date,patch,tournament,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,blue_win,data_source,red_win
Prime League 2nd Division/2026 Season/Spring Split_Week 2_1_1,2026-05-08 16:16:00,26.09,PRM 2nd Division 25-26 Spring,Babos Gaming,LOOKSMAXXER,Babos Gaming,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_2_1,2026-05-08 16:16:00,26.09,PRM 2nd Division 25-26 Spring,Hannover Esports e.V.,All for One Gaming,All for One Gaming,[],[],[],[],[],[],0,leaguepedia_cargo_patch_range,1
Prime League 2nd Division/2026 Season/Spring Split_Week 2_1_2,2026-05-08 17:05:00,26.09,PRM 2nd Division 25-26 Spring,Babos Gaming,LOOKSMAXXER,Babos Gaming,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_2_2,2026-05-08 17:09:00,26.09,PRM 2nd Division 25-26 Spring,Hannover Esports e.V.,All for One Gaming,Hannover Esports e.V.,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_2_3,2026-05-08 18:09:00,26.09,PRM 2nd Division 25-26 Spring,Hannover Esports e.V.,All for One Gaming,Hannover Esports e.V.,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_4_1,2026-05-08 18:47:00,26.09,PRM 2nd Division 25-26 Spring,Team Rift,Circus Kittens,Team Rift,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_3_1,2026-05-08 18:50:00,26.09,PRM 2nd Division 25-26 Spring,CGN Esports,Locked In (Dutch Team),Locked In (Dutch Team),[],[],[],[],[],[],0,leaguepedia_cargo_patch_range,1
Prime League 2nd Division/2026 Season/Spring Split_Week 2_4_2,2026-05-08 19:35:00,26.09,PRM 2nd Division 25-26 Spring,Circus Kittens,Team Rift,Team Rift,[],[],[],[],[],[],0,leaguepedia_cargo_patch_range,1
Prime League 2nd Division/2026 Season/Spring Split_Week 2_3_2,2026-05-08 19:48:00,26.09,PRM 2nd Division 25-26 Spring,Locked In (Dutch Team),CGN Esports,CGN Esports,[],[],[],[],[],[],0,leaguepedia_cargo_patch_range,1
Prime League 2nd Division/2026 Season/Spring Split_Week 2_3_3,2026-05-08 20:47:00,26.09,PRM 2nd Division 25-26 Spring,CGN Esports,Locked In (Dutch Team),CGN Esports,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_5_1,2026-05-10 13:11:00,26.09,PRM 2nd Division 25-26 Spring,Reveal Multigaming,DKB XPERION NXT,Reveal Multigaming,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_6_1,2026-05-10 13:11:00,26.09,PRM 2nd Division 25-26 Spring,MT1 Esports,TeamOrangeGaming Academy,MT1 Esports,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_5_2,2026-05-10 14:01:00,26.09,PRM 2nd Division 25-26 Spring,Reveal Multigaming,DKB XPERION NXT,Reveal Multigaming,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_6_2,2026-05-10 14:10:00,26.09,PRM 2nd Division 25-26 Spring,TeamOrangeGaming Academy,MT1 Esports,MT1 Esports,[],[],[],[],[],[],0,leaguepedia_cargo_patch_range,1
Prime League 2nd Division/2026 Season/Spring Split_Week 2_7_1,2026-05-10 15:46:00,26.09,PRM 2nd Division 25-26 Spring,Spongecord prime,LOOKSMAXXER,Spongecord prime,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_8_1,2026-05-10 15:48:00,26.09,PRM 2nd Division 25-26 Spring,Babos Gaming,regnum4games,Babos Gaming,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
Prime League 2nd Division/2026 Season/Spring Split_Week 2_7_2,2026-05-10 16:43:00,26.09,PRM 2nd Division 25-26 Spring,Spongecord prime,LOOKSMAXXER,Spongecord prime,[],[],[],[],[],[],1,leaguepedia_cargo_patch_range,0
