combo_size,opponent_combo,games_against_op,wins_against_op,example_winning_matches,faced_op_champions,win_rate_against_op,smoothed_win_rate_against_op
2,Renekton + Ryze,4,4,"LPL/2026 Season/Split 2_Week 6_7_2, Nexus League/2026 Season/Spring Split_Week 6_8_1, CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_2","Nocturne, Senna",1.0,0.7222222222222222
2,Ahri + Varus,3,3,"TCL/2026 Season/Spring Split_Week 6_2_2, Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Round 2_1_3, EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_2_3","Nocturne, Senna",1.0,0.6875
2,Anivia + Wukong,3,3,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_1, EMEA Masters/2026 Season/Spring Play-In_Round 3_3_1, EMEA Masters/2026 Season/Spring Main Event_Semifinals_1_1",Nocturne,1.0,0.6875
2,Ashe + Xin Zhao,3,3,"LPL/2026 Season/Split 2_Week 6_7_2, LFL/2026 Season/Spring Playoffs_Round 1_5_2, LPL/2026 Season/Split 2_Week 7_9_1",Senna,1.0,0.6875
2,Varus + Wukong,3,3,"LES/2026 Season/Spring Split_Week 7_2_2, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_2_3","Nocturne, Senna",1.0,0.6875
2,Jarvan IV + Orianna,5,4,"TCL/2026 Season/Spring Split_Week 6_5_1, LCS/2026 Season/Spring Playoffs_Round 2_1_1, Esports World Cup 2026/Online Qualifiers/South America_Round 2_4_1","Nocturne, Senna",0.8,0.65
3,Ahri + Vi + Yorick,2,2,"LCK/2026 Season/Rounds 1-2_Week 9_1_2, 2026 Asia Masters_Day 2_2_2","Nocturne, Senna",1.0,0.6428571428571429
3,Alistar + Ezreal + Jarvan IV,2,2,"LES/2026 Season/Spring Playoffs_Semifinals_1_2, Arabian League/2026 Season/Summer Promotion_Round 1_3_1","Nocturne, Senna",1.0,0.6428571428571429
3,Anivia + Bard + Ezreal,2,2,"TCL/2026 Season/Spring Split_Week 6_5_1, EMEA Masters/2026 Season/Spring Play-In_Round 3_6_1","Nocturne, Senna",1.0,0.6428571428571429
3,Annie + Ashe + Seraphine,2,2,"LPL/2026 Season/Split 2_Week 7_9_1, LFL/2026 Season/Spring Playoffs_Round 2_3_2",Senna,1.0,0.6428571428571429
3,Lucian + Milio + Renekton,2,2,"North American Challengers League/2026 Season/Spring Playoffs_Round 3_1_3, LCS/2026 Season/Spring Playoffs_Round 2_2_1","Nocturne, Senna",1.0,0.6428571428571429
3,Orianna + Rakan + Sion,2,2,"LCS/2026 Season/Spring Playoffs_Round 2_1_1, EMEA Masters/2026 Season/Spring Play-In_Round 2_4_1",Nocturne,1.0,0.6428571428571429
3,Renekton + Ryze + Wukong,2,2,"Nexus League/2026 Season/Spring Split_Week 6_8_1, LCS/2026 Season/Spring Playoffs_Round 2_2_1","Nocturne, Senna",1.0,0.6428571428571429
3,Renekton + Ryze + Xin Zhao,2,2,"LPL/2026 Season/Split 2_Week 6_7_2, CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_2","Nocturne, Senna",1.0,0.6428571428571429
2,Annie + Ashe,4,3,"Rift Legends/2026 Season/Spring Split_Week 5_4_2, LPL/2026 Season/Split 2_Week 7_9_1, LFL/2026 Season/Spring Playoffs_Round 2_3_2",Senna,0.75,0.6111111111111112
2,Ashe + Hwei,4,3,"LFL/2026 Season/Spring Playoffs_Round 1_5_2, Benelux Ascend Series/2026 Season/Spring Playoffs_Round 1_4_2, LIT/2026 Season/Summer Promotion_Semifinals_2_3",Senna,0.75,0.6111111111111112
2,Ashe + Seraphine,4,3,"LPL/2026 Season/Split 2_Week 7_9_1, LFL/2026 Season/Spring Playoffs_Round 2_3_2, Benelux Ascend Series/2026 Season/Spring Playoffs_Round 1_4_2","Nocturne, Senna",0.75,0.6111111111111112
