match_id,date,patch,op_losing_team,op_losing_team_picks,op_champions_in_losing_team,winning_opponent,winning_opponent_picks
LCK/2026 Season/Rounds 1-2_Week 6_2_2,2026-05-06 11:22:00,26.09,DN SOOPers,K'Sante + Naafiri + Nautilus + Ryze + Senna,Senna,Hanwha Life Esports,Jayce + Lucian + Milio + Nocturne + Twisted Fate
LES/2026 Season/Spring Split_Week 5_2_1,2026-05-06 17:58:00,26.09,GIANTX iTero,Aurora + Jarvan IV + Nautilus + Senna + Viktor,Senna,Barça eSports,Ezreal + Nami + Orianna + Rumble + Vi
Rift Legends/2026 Season/Spring Split_Week 5_4_2,2026-05-06 18:23:00,26.09,Bomba Team,Gwen + Jayce + Senna + Seraphine + Xin Zhao,Senna,Barcząca Esports,Aatrox + Annie + Ashe + Lulu + Yorick
Rift Legends/2026 Season/Spring Split_Week 5_6_2,2026-05-07 18:35:00,26.09,LODIS (Polish Team),Anivia + Senna + Seraphine + Skarner + Swain,Senna,Anonymo Esports,Ashe + Neeko + Nocturne + Rumble + Ryze
North American Challengers League/2026 Season/Spring Season_Week 7_6_2,2026-05-08 23:08:00,26.09,Apex Mission Impossible,Jax + Orianna + Rakan + Senna + Trundle,Senna,Citadel Gaming,Azir + Gragas + Karma + Smolder + Xin Zhao
LPL/2026 Season/Split 2_Week 6_7_2,2026-05-09 10:12:00,26.09,Ninjas in Pyjamas.CN,Annie + Gnar + Senna + Seraphine + Shyvana,Senna,Invictus Gaming,Ashe + Lulu + Renekton + Ryze + Xin Zhao
TCL/2026 Season/Spring Split_Week 6_2_2,2026-05-11 17:47:00,26.09,BoostGate Esports,Caitlyn + Gwen + Jarvan IV + Senna + Viktor,Senna,Team Phoenix (Turkish Team),Aatrox + Ahri + Bard + Sion + Varus
LFL/2026 Season/Spring Playoffs_Round 1_5_2,2026-05-13 17:08:00,26.09,Ici Japon Corp. Esport,Camille + Jarvan IV + Nautilus + Senna + Viktor,Senna,Esprit Shōnen,Ambessa + Ashe + Braum + Hwei + Xin Zhao
TCL/2026 Season/Spring Split_Week 6_5_1,2026-05-15 14:31:00,26.09,Ozarox Esports,Brand + Ekko + Hecarim + Senna + Yasuo,Senna,Team Phoenix (Turkish Team),Anivia + Bard + Ezreal + Jarvan IV + Orianna
LPL/2026 Season/Split 2_Week 7_9_1,2026-05-16 09:11:00,26.09,EDward Gaming,Alistar + Cassiopeia + Rumble + Senna + Vi,Senna,ThunderTalk Gaming,Annie + Ashe + K'Sante + Seraphine + Xin Zhao
Hitpoint Masters/2026 Season/Spring Split_Week 4_4_1,2026-05-16 16:46:00,26.10,eSuba,Ambessa + Cassiopeia + Rell + Senna + Skarner,Senna,Nightbirds,Ezreal + Nami + Pantheon + Ryze + Vayne
Nexus League/2026 Season/Spring Split_Week 6_8_1,2026-05-17 13:08:00,26.09,Crystal Rose (French Team),Aatrox + Annie + Lee Sin + Nautilus + Senna,Senna,Lille Esport,Corki + Nami + Renekton + Ryze + Wukong
LES/2026 Season/Spring Split_Week 7_2_2,2026-05-20 17:54:00,26.10,Barça eSports,Aatrox + Annie + Nautilus + Rumble + Senna,Senna,Team Heretics Academy,Cassiopeia + Miss Fortune + Rell + Varus + Wukong
LJL/2026 Season/Spring Series_Week 4_2_1,2026-05-21 10:03:00,26.10,Rising Gaming,Jayce + Rumble + Senna + Tahm Kench + Viktor,Senna,New Meta,Irelia + Jhin + Karma + Sylas + Xin Zhao
LFL/2026 Season/Spring Playoffs_Round 2_3_2,2026-05-21 16:56:00,26.10,Esprit Shōnen,Cassiopeia + Nami + Ornn + Senna + Wukong,Senna,Galions,Annie + Ashe + Renekton + Seraphine + Zaahen
VCS/2026 Season/Summer Season_Week 2_5_2,2026-05-22 10:56:00,26.09,Saigon Dino,Lee Sin + Nautilus + Renekton + Ryze + Senna,Senna,Saigon Warriors,Aurora + Gnar + Lucian + Milio + Skarner
Benelux Ascend Series/2026 Season/Spring Playoffs_Round 1_4_2,2026-05-22 18:59:00,26.10,FUSE,Jayce + K'Sante + Rell + Senna + Viktor,Senna,ZennIT Academy,Ashe + Hwei + Kha'Zix + Ornn + Seraphine
North American Challengers League/2026 Season/Spring Playoffs_Round 2_1_2,2026-05-22 20:55:00,26.10,NRG,Alistar + Orianna + Rumble + Senna + Wukong,Senna,CCG Esports,Galio + Jarvan IV + Karma + Yorick + Zeri
LCP/2026 Season/Split 2 Playoffs_Round 1_1_2,2026-05-23 10:10:00,26.10,CTBC Flying Oyster,Jarvan IV + Karma + Renekton + Senna + Viktor,Senna,MVK Esports,Aurora + Caitlyn + Gnar + Lee Sin + Pyke
LIT/2026 Season/Summer Promotion_Semifinals_2_3,2026-05-23 19:13:00,26.10,StoneHenge Esports,Gnar + Senna + Seraphine + Shyvana + Syndra,Senna,P11 Esports,Ashe + Blitzcrank + Hwei + Vayne + Wukong
LCS/2026 Season/Spring Playoffs_Round 1_1_3,2026-05-23 21:50:00,26.10,Cloud9,Ambessa + Hwei + Nautilus + Senna + Twisted Fate,Senna,FlyQuest,K'Sante + Lulu + Shyvana + Sivir + Sylas
Comic Con Baltics 2026_Finals_1_4,2026-05-24 11:16:00,26.10,Kenty,Leona + Senna + Syndra + Urgot + Wukong,Senna,Wilderness Gaming,Caitlyn + Jayce + Maokai + Thresh + Volibear
LIT/2026 Season/Summer Promotion_Finals_1_1,2026-05-24 16:11:00,26.10,Epitomy Esports,Azir + Mordekaiser + Nautilus + Senna + Wukong,Senna,P11 Esports,Braum + Ryze + Sion + Zaahen + Zeri
CBLOL/2026 Season/Split 1 Playoffs_Round 4_1_2,2026-05-24 17:02:00,26.10,RED Canids,Aatrox + Cassiopeia + Renekton + Senna + Seraphine,Senna,FURIA,Ashe + Lee Sin + Lulu + Sion + Twisted Fate
LEC/2026 Season/Spring Playoffs_Round 3_1_5,2026-05-25 18:29:00,26.10,Movistar KOI,Alistar + Azir + Gnar + Senna + Zaahen,Senna,G2 Esports,Jinx + Malphite + Pantheon + Soraka + Sylas
LCK/2026 Season/Rounds 1-2_Week 9_1_2,2026-05-27 09:12:00,26.10,Hanwha Life Esports,Alistar + Rumble + Ryze + Senna + Trundle,Senna,Gen.G,Ahri + Lucian + Milio + Vi + Yorick
NLC/2026 Season/Spring Split_Day 2_2_1,2026-05-27 17:05:00,26.10,Arctic Pandas,Olaf + Ryze + Senna + Seraphine + Varus,Senna,Ruddy Corporation,Ashe + Mel + Milio + Naafiri + Sion
Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_4,2026-05-27 18:42:00,26.10,The Secret Club,Galio + Jayce + Mordekaiser + Nautilus + Senna,Senna,Magaza Esports,Braum + LeBlanc + Renekton + Skarner + Smolder
Streamers Clash/Season 4_Day 7_5_1,2026-05-28 19:54:00,26.10,SILNĚJŠÍ SE XNAPYM,Bel'Veth + Hwei + Malphite + Senna + Sylas,Senna,VEDICI DEEMONS,Kayn + Ryze + Sion + Tristana + Yuumi
North American Challengers League/2026 Season/Spring Playoffs_Round 3_1_3,2026-05-28 22:00:00,26.10,Winthrop University,Ambessa + Ivern + Nautilus + Senna + Viktor,Senna,NRG,Hwei + Lucian + Milio + Renekton + Trundle
