match_id,date,patch,team,player,champion,role,case_context,op_losing_team,winning_opponent,key_rune,key_rune_usage_rate,champion_role_games,item_signature,item_inventory,rare_items,unusual_rune_flag,rare_item_flag,exception_note
LES/2026 Season/Spring Split_Week 5_2_1,2026-05-06 17:58:00,26.09,GIANTX iTero,Flakked,Senna,Bot,op_losing_champion,GIANTX iTero,Barça eSports,Fleet Footwork,0.42105263157894735,19,Steel Sigil + Statikk Shiv + Hexoptics C44,"Steel Sigil, Statikk Shiv, Hexoptics C44, Rapid Firecannon, Infinity Edge, Doran's Bow",Steel Sigil,False,True,rare item(s): Steel Sigil:5.3%(1/19)
Rift Legends/2026 Season/Spring Split_Week 5_4_2,2026-05-06 18:23:00,26.09,Bomba Team,Odi11,Senna,Bot,op_losing_champion,Bomba Team,Barcząca Esports,Deathfire Touch,0.5789473684210527,19,Lord Dominik's Regards + Hexoptics C44 + Statikk Shiv,"Lord Dominik's Regards, Hexoptics C44, Statikk Shiv, Doran's Blade",Lord Dominik's Regards,False,True,rare item(s): Lord Dominik's Regards:10.5%(2/19)
North American Challengers League/2026 Season/Spring Season_Week 7_6_2,2026-05-08 23:08:00,26.09,Apex Mission Impossible,Bazz,Senna,Bot,op_losing_champion,Apex Mission Impossible,Citadel Gaming,Deathfire Touch,0.5789473684210527,19,Doran's Blade + Statikk Shiv + Zeal,"Doran's Blade, Statikk Shiv, Zeal, Serpent's Fang, Black Cleaver, Dagger","Zeal, Serpent's Fang, Dagger",False,True,rare item(s): Zeal:15.8%(3/19); Serpent's Fang:10.5%(2/19); Dagger:5.3%(1/19)
LPL/2026 Season/Split 2_Week 6_7_2,2026-05-09 10:12:00,26.09,Ninjas in Pyjamas.CN,Assum,Senna,Bot,op_losing_champion,Ninjas in Pyjamas.CN,Invictus Gaming,Fleet Footwork,0.42105263157894735,19,Statikk Shiv + Hexoptics C44 + Last Whisper,"Statikk Shiv, Hexoptics C44, Last Whisper, Cloak of Agility, Doran's Bow, Long Sword","Last Whisper, Cloak of Agility, Long Sword",False,True,rare item(s): Last Whisper:5.3%(1/19); Cloak of Agility:15.8%(3/19); Long Sword:15.8%(3/19)
LFL/2026 Season/Spring Playoffs_Round 1_5_2,2026-05-13 17:08:00,26.09,Ici Japon Corp. Esport,Soldier,Senna,Bot,op_losing_champion,Ici Japon Corp. Esport,Esprit Shōnen,Deathfire Touch,0.5789473684210527,19,Statikk Shiv + Hexoptics C44 + Black Cleaver,"Statikk Shiv, Hexoptics C44, Black Cleaver, B. F. Sword, Cloak of Agility, Pickaxe","B. F. Sword, Cloak of Agility, Pickaxe",False,True,rare item(s): B. F. Sword:15.8%(3/19); Cloak of Agility:15.8%(3/19); Pickaxe:10.5%(2/19)
LPL/2026 Season/Split 2_Week 7_9_1,2026-05-16 09:11:00,26.09,EDward Gaming,Leave,Senna,Bot,op_losing_champion,EDward Gaming,ThunderTalk Gaming,Fleet Footwork,0.42105263157894735,19,Infinity Edge + Statikk Shiv + Hexoptics C44,"Infinity Edge, Statikk Shiv, Hexoptics C44, Doran's Bow, Control Ward",Control Ward,False,True,rare item(s): Control Ward:10.5%(2/19)
Hitpoint Masters/2026 Season/Spring Split_Week 4_4_1,2026-05-16 16:46:00,26.10,eSuba,raining,Senna,Bot,op_losing_champion,eSuba,Nightbirds,Deathfire Touch,0.7037037037037037,54,Doran's Blade + Hexoptics C44 + Zeal,"Doran's Blade, Hexoptics C44, Zeal, Black Cleaver, Statikk Shiv",Zeal,False,True,rare item(s): Zeal:11.1%(6/54)
Nexus League/2026 Season/Spring Split_Week 6_8_1,2026-05-17 13:08:00,26.09,Crystal Rose (French Team),Fliizee,Senna,Bot,op_losing_champion,Crystal Rose (French Team),Lille Esport,Deathfire Touch,0.5789473684210527,19,Doran's Blade + Statikk Shiv + Black Cleaver,"Doran's Blade, Statikk Shiv, Black Cleaver, Noonquiver, Long Sword","Noonquiver, Long Sword",False,True,rare item(s): Noonquiver:10.5%(2/19); Long Sword:15.8%(3/19)
LES/2026 Season/Spring Split_Week 7_2_2,2026-05-20 17:54:00,26.10,Barça eSports,Legolas,Senna,Bot,op_losing_champion,Barça eSports,Team Heretics Academy,Deathfire Touch,0.7037037037037037,54,Doran's Bow + Infinity Edge + Zeal,"Doran's Bow, Infinity Edge, Zeal, Black Cleaver, Hexoptics C44, Statikk Shiv",Zeal,False,True,rare item(s): Zeal:11.1%(6/54)
LFL/2026 Season/Spring Playoffs_Round 2_3_2,2026-05-21 16:56:00,26.10,Esprit Shōnen,Booshi,Senna,Bot,op_losing_champion,Esprit Shōnen,Galions,Fleet Footwork,0.2962962962962963,54,Doran's Bow + Statikk Shiv + Hexoptics C44,"Doran's Bow, Statikk Shiv, Hexoptics C44, Infinity Edge, Executioner's Calling, Long Sword","Executioner's Calling, Long Sword",False,True,rare item(s): Executioner's Calling:7.4%(4/54); Long Sword:9.3%(5/54)
Benelux Ascend Series/2026 Season/Spring Playoffs_Round 1_4_2,2026-05-22 18:59:00,26.10,FUSE,Mikano,Senna,Bot,op_losing_champion,FUSE,ZennIT Academy,Deathfire Touch,0.7037037037037037,54,Statikk Shiv + Black Cleaver + Rapid Firecannon,"Statikk Shiv, Black Cleaver, Rapid Firecannon, Infinity Edge, Long Sword, Doran's Blade",Long Sword,False,True,rare item(s): Long Sword:9.3%(5/54)
LIT/2026 Season/Summer Promotion_Semifinals_2_3,2026-05-23 19:13:00,26.10,StoneHenge Esports,xHikama,Senna,Bot,op_losing_champion,StoneHenge Esports,P11 Esports,Deathfire Touch,0.7037037037037037,54,Statikk Shiv + Control Ward + Hexoptics C44,"Statikk Shiv, Control Ward, Hexoptics C44, Black Cleaver, Infinity Edge, Sheen","Control Ward, Sheen",False,True,rare item(s): Control Ward:7.4%(4/54); Sheen:1.9%(1/54)
LCS/2026 Season/Spring Playoffs_Round 1_1_3,2026-05-23 21:50:00,26.10,Cloud9,Zven,Senna,Bot,op_losing_champion,Cloud9,FlyQuest,Deathfire Touch,0.7037037037037037,54,Black Cleaver + Statikk Shiv + Serpent's Fang,"Black Cleaver, Statikk Shiv, Serpent's Fang, B. F. Sword, Doran's Bow, Cloak of Agility",Serpent's Fang,False,True,rare item(s): Serpent's Fang:16.7%(9/54)
LIT/2026 Season/Summer Promotion_Finals_1_1,2026-05-24 16:11:00,26.10,Epitomy Esports,Pecora,Senna,Bot,op_losing_champion,Epitomy Esports,P11 Esports,Fleet Footwork,0.2962962962962963,54,Statikk Shiv + Executioner's Calling + Black Cleaver,"Statikk Shiv, Executioner's Calling, Black Cleaver, Hexoptics C44, Infinity Edge, Doran's Bow",Executioner's Calling,False,True,rare item(s): Executioner's Calling:7.4%(4/54)
CBLOL/2026 Season/Split 1 Playoffs_Round 4_1_2,2026-05-24 17:02:00,26.10,RED Canids,Morttheus,Senna,Bot,op_losing_champion,RED Canids,FURIA,Deathfire Touch,0.7037037037037037,54,Control Ward + Hexoptics C44 + Statikk Shiv,"Control Ward, Hexoptics C44, Statikk Shiv, Black Cleaver, Infinity Edge",Control Ward,False,True,rare item(s): Control Ward:7.4%(4/54)
LEC/2026 Season/Spring Playoffs_Round 3_1_5,2026-05-25 18:29:00,26.10,Movistar KOI,Supa,Senna,Bot,op_losing_champion,Movistar KOI,G2 Esports,Deathfire Touch,0.7037037037037037,54,Statikk Shiv + Infinity Edge + Steel Sigil,"Statikk Shiv, Infinity Edge, Steel Sigil, Black Cleaver, B. F. Sword, Hexoptics C44",Steel Sigil,False,True,rare item(s): Steel Sigil:5.6%(3/54)
LCK/2026 Season/Rounds 1-2_Week 9_1_2,2026-05-27 09:12:00,26.10,Hanwha Life Esports,Gumayusi,Senna,Bot,op_losing_champion,Hanwha Life Esports,Gen.G,Fleet Footwork,0.2962962962962963,54,Doran's Blade + Hexoptics C44 + Scout's Slingshot,"Doran's Blade, Hexoptics C44, Scout's Slingshot, Statikk Shiv, Black Cleaver, Zeal","Scout's Slingshot, Zeal",False,True,rare item(s): Scout's Slingshot:3.7%(2/54); Zeal:11.1%(6/54)
NLC/2026 Season/Spring Split_Day 2_2_1,2026-05-27 17:05:00,26.10,Arctic Pandas,Kehvo,Senna,Bot,op_losing_champion,Arctic Pandas,Ruddy Corporation,Deathfire Touch,0.7037037037037037,54,Doran's Blade + Black Cleaver + Statikk Shiv,"Doran's Blade, Black Cleaver, Statikk Shiv, Hexoptics C44, Infinity Edge, Steel Sigil",Steel Sigil,False,True,rare item(s): Steel Sigil:5.6%(3/54)
North American Challengers League/2026 Season/Spring Playoffs_Round 3_1_3,2026-05-28 22:00:00,26.10,Winthrop University,Mobility,Senna,Bot,op_losing_champion,Winthrop University,NRG,Deathfire Touch,0.7037037037037037,54,Statikk Shiv + Hexoptics C44 + Black Cleaver,"Statikk Shiv, Hexoptics C44, Black Cleaver, B. F. Sword, Pickaxe, Executioner's Calling",Executioner's Calling,False,True,rare item(s): Executioner's Calling:7.4%(4/54)
LPL/2026 Season/Split 2 Playoffs_Round 1_1_3,2026-05-29 08:05:00,26.10,ThunderTalk Gaming,Ahn,Senna,Bot,op_losing_champion,ThunderTalk Gaming,JD Gaming,Fleet Footwork,0.2962962962962963,54,Statikk Shiv + Hexoptics C44 + Serpent's Fang,"Statikk Shiv, Hexoptics C44, Serpent's Fang, Doran's Bow",Serpent's Fang,False,True,rare item(s): Serpent's Fang:16.7%(9/54)
Benelux Ascend Series/2026 Season/Spring Playoffs_Round 2_1_4,2026-05-29 20:18:00,26.10,RED OUAT,knudy,Senna,Bot,op_losing_champion,RED OUAT,FUSE,Deathfire Touch,0.7037037037037037,54,Statikk Shiv + Hexoptics C44 + B. F. Sword,"Statikk Shiv, Hexoptics C44, B. F. Sword, Serpent's Fang, Black Cleaver, Oblivion Orb","Serpent's Fang, Oblivion Orb",False,True,rare item(s): Serpent's Fang:16.7%(9/54); Oblivion Orb:1.9%(1/54)
CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_2,2026-05-30 17:07:00,26.11,LØS,Curse,Nocturne,Jungle,op_losing_champion,LØS,Fluxo W7M,Lethal Tempo,0.2727272727272727,66,Plated Steelcaps + Stridebreaker + Experimental Hexplate,"Plated Steelcaps, Stridebreaker, Experimental Hexplate, B. F. Sword",B. F. Sword,False,True,rare item(s): B. F. Sword:13.6%(9/66)
LCP/2026 Season/Split 2 Playoffs_Round 3_1_3,2026-05-31 10:54:00,26.10,Team Secret Whales,Eddie,Senna,Bot,op_losing_champion,Team Secret Whales,Deep Cross Gaming,Fleet Footwork,0.2962962962962963,54,Black Cleaver + Pickaxe + Doran's Bow,"Black Cleaver, Pickaxe, Doran's Bow, Hexoptics C44, Phantom Dancer",Phantom Dancer,False,True,rare item(s): Phantom Dancer:3.7%(2/54)
Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1,2026-06-02 21:47:00,26.11,Marere Invokers,guga fighter,Nocturne,Jungle,op_losing_champion,Marere Invokers,Barulhinhos,Conqueror,0.7272727272727273,66,Plated Steelcaps + Experimental Hexplate + Stridebreaker,"Plated Steelcaps, Experimental Hexplate, Stridebreaker, B. F. Sword, Steel Sigil",B. F. Sword,False,True,rare item(s): B. F. Sword:13.6%(9/66)
LJL/2026 Season/Spring Series_Week 6_2_3,2026-06-03 12:13:00,26.10,New Meta,suyahime,Senna,Bot,op_losing_champion,New Meta,Uwinks,Deathfire Touch,0.7037037037037037,54,Cloak of Agility + Pickaxe + Hexoptics C44,"Cloak of Agility, Pickaxe, Hexoptics C44, Doran's Helm, Statikk Shiv, Black Cleaver",Doran's Helm,False,True,rare item(s): Doran's Helm:13.0%(7/54)
LES/2026 Season/Spring Playoffs_Semifinals_1_2,2026-06-03 15:57:00,26.10,Barça eSports,Legolas,Senna,Bot,op_losing_champion,Barça eSports,Team Heretics Academy,Fleet Footwork,0.2962962962962963,54,Statikk Shiv + Infinity Edge + Doran's Bow,"Statikk Shiv, Infinity Edge, Doran's Bow, Zeal, Hexoptics C44, Black Cleaver",Zeal,False,True,rare item(s): Zeal:11.1%(6/54)
Arabian League/2026 Season/Summer Promotion_Round 1_3_1,2026-06-03 16:06:00,26.11,GnG Amazigh,Exan,Nocturne,Jungle,op_losing_champion,GnG Amazigh,NextGeneration Esports,Conqueror,0.7272727272727273,66,Mercury's Treads + Stridebreaker + Experimental Hexplate,"Mercury's Treads, Stridebreaker, Experimental Hexplate, Guardian Angel, Phage",Phage,False,True,rare item(s): Phage:6.1%(4/66)
