match_id,date,patch,team,player,champion,role,case_context,op_losing_team,winning_opponent,key_rune,key_rune_usage_rate,champion_role_games,item_signature,item_inventory,rare_items,unusual_rune_flag,rare_item_flag,exception_note
LPL/2026 Season/Split 2_Week 6_7_2,2026-05-09 10:12:00,26.09,Invictus Gaming,Breathe,Renekton,Top,winning_opponent,Ninjas in Pyjamas.CN,Invictus Gaming,Press the Attack,0.10344827586206896,116,Stridebreaker + Spear of Shojin + B. F. Sword,"Stridebreaker, Spear of Shojin, B. F. Sword, Plated Steelcaps, Steel Sigil",B. F. Sword,True,True,key rune 'Press the Attack' is low-frequency for Renekton Top: 10.3% (12/116) rare item(s): B. F. Sword:11.2%(13/116)
Nexus League/2026 Season/Spring Split_Week 6_8_1,2026-05-17 13:08:00,26.09,Lille Esport,Melyap,Ryze,Mid,winning_opponent,Crystal Rose (French Team),Lille Esport,Stormraider's Surge,0.11917098445595854,193,Needlessly Large Rod + Needlessly Large Rod + Seeker's Armguard,"Needlessly Large Rod, Needlessly Large Rod, Seeker's Armguard, Rod of Ages, Seraph's Embrace, Chainlaced Crushers",Seeker's Armguard,True,True,key rune 'Stormraider's Surge' is low-frequency for Ryze Mid: 11.9% (23/193) rare item(s): Seeker's Armguard:6.7%(13/193)
LES/2026 Season/Spring Split_Week 7_2_2,2026-05-20 17:54:00,26.10,Team Heretics Academy,Lure,Miss Fortune,Bot,winning_opponent,Barça eSports,Team Heretics Academy,First Strike,0.08571428571428572,70,Youmuu's Ghostblade + Edge of Night + Axiom Arc,"Youmuu's Ghostblade, Edge of Night, Axiom Arc, Doran's Blade, Serrated Dirk, The Collector","Youmuu's Ghostblade, Edge of Night, Axiom Arc, Serrated Dirk",True,True,key rune 'First Strike' is low-frequency for Miss Fortune Bot: 8.6% (6/70) rare item(s): Youmuu's Ghostblade:1.4%(1/70); Edge of Night:2.9%(2/70); Axiom Arc:1.4%(1/70); Serrated Dirk:4.3%(3/70)
VCS/2026 Season/Summer Season_Week 2_5_2,2026-05-22 10:56:00,26.09,Saigon Warriors,AisyL,Aurora,Mid,winning_opponent,Saigon Dino,Saigon Warriors,Deathfire Touch,0.04964539007092199,141,Void Staff + Spellslinger's Shoes + Zhonya's Hourglass,"Void Staff, Spellslinger's Shoes, Zhonya's Hourglass, Mejai's Soulstealer, Liandry's Torment, Blackfire Torch","Void Staff, Zhonya's Hourglass, Mejai's Soulstealer, Liandry's Torment, Blackfire Torch",True,True,key rune 'Deathfire Touch' is low-frequency for Aurora Mid: 5.0% (7/141) rare item(s): Void Staff:13.5%(19/141); Zhonya's Hourglass:9.9%(14/141); Mejai's Soulstealer:10.6%(15/141); Liandry's Torment:6.4%(9/141); Blackfire Torch:0.7%(1/141)
LCP/2026 Season/Split 2 Playoffs_Round 1_1_2,2026-05-23 10:10:00,26.10,MVK Esports,Kratos,Gnar,Top,winning_opponent,CTBC Flying Oyster,MVK Esports,Lethal Tempo,0.1875,128,Sterak's Gage + Trinity Force + Control Ward,"Sterak's Gage, Trinity Force, Control Ward, Plated Steelcaps, Black Cleaver",Control Ward,True,True,key rune 'Lethal Tempo' is low-frequency for Gnar Top: 18.8% (24/128) rare item(s): Control Ward:19.5%(25/128)
LCP/2026 Season/Split 2 Playoffs_Round 1_1_2,2026-05-23 10:10:00,26.10,MVK Esports,Harky,Caitlyn,Bot,winning_opponent,CTBC Flying Oyster,MVK Esports,Fleet Footwork,0.07746478873239436,142,Hexoptics C44 + Infinity Edge + Rapid Firecannon,"Hexoptics C44, Infinity Edge, Rapid Firecannon, Doran's Bow, Cloak of Agility, B. F. Sword","Cloak of Agility, B. F. Sword",True,True,key rune 'Fleet Footwork' is low-frequency for Caitlyn Bot: 7.7% (11/142) rare item(s): Cloak of Agility:14.8%(21/142); B. F. Sword:14.8%(21/142)
LCS/2026 Season/Spring Playoffs_Round 1_1_3,2026-05-23 21:50:00,26.10,FlyQuest,Gakgos,K'Sante,Top,winning_opponent,Cloud9,FlyQuest,Aftershock,0.125,136,"Doran's Helm + Jak'Sho, The Protean + Mercury's Treads","Doran's Helm, Jak'Sho, The Protean, Mercury's Treads, Kindlegem, Iceborn Gauntlet",Kindlegem,True,True,key rune 'Aftershock' is low-frequency for K'Sante Top: 12.5% (17/136) rare item(s): Kindlegem:8.1%(11/136)
NLC/2026 Season/Spring Split_Day 2_2_1,2026-05-27 17:05:00,26.10,Ruddy Corporation,Kaermo,Sion,Top,winning_opponent,Arctic Pandas,Ruddy Corporation,Arcane Comet,0.029069767441860465,172,Protoplasm Harness + Unending Despair + Spirit Visage,"Protoplasm Harness, Unending Despair, Spirit Visage, Chain Vest, Negatron Cloak, Plated Steelcaps","Protoplasm Harness, Chain Vest, Negatron Cloak",True,True,key rune 'Arcane Comet' is low-frequency for Sion Top: 2.9% (5/172) rare item(s): Protoplasm Harness:3.5%(6/172); Chain Vest:17.4%(30/172); Negatron Cloak:19.2%(33/172)
North American Challengers League/2026 Season/Spring Playoffs_Round 3_1_3,2026-05-28 22:00:00,26.10,NRG,Phymini,Hwei,Mid,winning_opponent,Winthrop University,NRG,Summon Aery,0.07894736842105263,38,Oblivion Orb + Seeker's Armguard + Hextech Rocketbelt,"Oblivion Orb, Seeker's Armguard, Hextech Rocketbelt, Shadowflame, Luden's Echo, Spellslinger's Shoes","Oblivion Orb, Seeker's Armguard, Luden's Echo",True,True,key rune 'Summon Aery' is low-frequency for Hwei Mid: 7.9% (3/38) rare item(s): Oblivion Orb:13.2%(5/38); Seeker's Armguard:10.5%(4/38); Luden's Echo:13.2%(5/38)
LES/2026 Season/Spring Playoffs_Semifinals_2_4,2026-06-04 18:07:00,26.10,Movistar KOI Fénix,NightSlayer,Zaahen,Top,winning_opponent,UCAM Esports,Movistar KOI Fénix,Conqueror,0.23684210526315788,38,Stridebreaker + Plated Steelcaps + Death's Dance,"Stridebreaker, Plated Steelcaps, Death's Dance, Sundered Sky, Null-Magic Mantle, Executioner's Calling","Null-Magic Mantle, Executioner's Calling",True,True,key rune 'Conqueror' is low-frequency for Zaahen Top: 23.7% (9/38) rare item(s): Null-Magic Mantle:2.6%(1/38); Executioner's Calling:5.3%(2/38)
NLC/2026 Season/Spring Playoffs_Finals_1_2,2026-06-05 17:00:00,26.11,Verdant,Furuy,Taliyah,Mid,winning_opponent,Ruddy Corporation,Verdant,Stormraider's Surge,0.15625,32,Doran's Ring + Zhonya's Hourglass + Cosmic Drive,"Doran's Ring, Zhonya's Hourglass, Cosmic Drive, Crimson Lucidity, Blackfire Torch, Blasting Wand","Doran's Ring, Zhonya's Hourglass, Cosmic Drive, Blasting Wand",True,True,key rune 'Stormraider's Surge' is low-frequency for Taliyah Mid: 15.6% (5/32) rare item(s): Doran's Ring:15.6%(5/32); Zhonya's Hourglass:15.6%(5/32); Cosmic Drive:6.2%(2/32); Blasting Wand:3.1%(1/32)
EMEA Masters/2026 Season/Spring Play-In_Round 2_4_1,2026-06-08 16:35:00,26.11,Ruddy Corporation,Kaermo,Sion,Top,winning_opponent,Bomba Team,Ruddy Corporation,Arcane Comet,0.045454545454545456,88,Spectre's Cowl + Unending Despair + Plated Steelcaps,"Spectre's Cowl, Unending Despair, Plated Steelcaps, Control Ward, Spirit Visage, Frozen Heart","Spectre's Cowl, Frozen Heart",True,True,key rune 'Arcane Comet' is low-frequency for Sion Top: 4.5% (4/88) rare item(s): Spectre's Cowl:5.7%(5/88); Frozen Heart:6.8%(6/88)
EMEA Masters/2026 Season/Spring Play-In_Round 3_6_1,2026-06-08 18:05:00,26.11,Frites Esports Club,Wolorz,Anivia,Mid,winning_opponent,FN Esports,Frites Esports Club,Deathfire Touch,0.22727272727272727,44,Rod of Ages + Seraph's Embrace + Control Ward,"Rod of Ages, Seraph's Embrace, Control Ward, Dark Seal, Bloodletter's Curse, Crimson Lucidity","Bloodletter's Curse, Crimson Lucidity",True,True,key rune 'Deathfire Touch' is low-frequency for Anivia Mid: 22.7% (10/44) rare item(s): Bloodletter's Curse:6.8%(3/44); Crimson Lucidity:13.6%(6/44)
EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_8_2,2026-06-11 18:31:00,26.11,WLGaming Esports,SMURFE,K'Sante,Top,winning_opponent,Partizan Sangal,WLGaming Esports,Aftershock,0.2111111111111111,90,"Control Ward + Randuin's Omen + Jak'Sho, The Protean","Control Ward, Randuin's Omen, Jak'Sho, The Protean, Doran's Helm, Zeke's Convergence, Plated Steelcaps","Randuin's Omen, Zeke's Convergence",True,True,key rune 'Aftershock' is low-frequency for K'Sante Top: 21.1% (19/90) rare item(s): Randuin's Omen:17.8%(16/90); Zeke's Convergence:12.2%(11/90)
2026 Asian Games/Qualifier_Day 1_1_1,2026-06-12 05:10:00,26.11,Hong Kong (National Team),Chau,Jayce,Top,winning_opponent,Malaysia (National Team),Hong Kong (National Team),Conqueror,0.07547169811320754,53,Youmuu's Ghostblade + Edge of Night + Muramana,"Youmuu's Ghostblade, Edge of Night, Muramana, Mercury's Treads, Serylda's Grudge, Steel Sigil","Edge of Night, Mercury's Treads, Steel Sigil",True,True,key rune 'Conqueror' is low-frequency for Jayce Top: 7.5% (4/53) rare item(s): Edge of Night:18.9%(10/53); Mercury's Treads:18.9%(10/53); Steel Sigil:3.8%(2/53)
VCS/2026 Season/Summer Playoffs_Round 2_1_1,2026-06-13 10:07:00,26.11,Saigon Warriors,AisyL,Akali,Mid,winning_opponent,ZEN Esports (Vietnamese Team),Saigon Warriors,Conqueror,0.11627906976744186,43,Rabadon's Deathcap + Banshee's Veil + Hextech Rocketbelt,"Rabadon's Deathcap, Banshee's Veil, Hextech Rocketbelt, Void Staff, Spellslinger's Shoes, Shadowflame","Banshee's Veil, Void Staff",True,True,key rune 'Conqueror' is low-frequency for Akali Mid: 11.6% (5/43) rare item(s): Banshee's Veil:2.3%(1/43); Void Staff:14.0%(6/43)
EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_2_3,2026-06-13 16:35:00,26.11,G2 NORD,Toasty,Taliyah,Mid,winning_opponent,Solary,G2 NORD,Summon Aery,0.21875,32,Hextech Rocketbelt + Seeker's Armguard + Needlessly Large Rod,"Hextech Rocketbelt, Seeker's Armguard, Needlessly Large Rod, Crimson Lucidity, Blackfire Torch, Cryptbloom","Seeker's Armguard, Needlessly Large Rod",True,True,key rune 'Summon Aery' is low-frequency for Taliyah Mid: 21.9% (7/32) rare item(s): Seeker's Armguard:6.2%(2/32); Needlessly Large Rod:18.8%(6/32)
