match_id,date,patch,op_side,op_team,non_op_team,op_champions,op_team_win
Rift Legends/2026 Season/Spring Split_Week 5_2_1,2026-05-05 17:59:00,26.09,red,LODIS (Polish Team),Forsaken (Polish Team),Senna,1
Road Of Legends/2026 Season/Spring Split_Week 6_2_3,2026-05-05 20:02:00,26.09,red,mCon esports,The Bandits,Senna,1
LCK/2026 Season/Rounds 1-2_Week 6_2_2,2026-05-06 11:22:00,26.09,red,DN SOOPers,Hanwha Life Esports,Senna,0
LES/2026 Season/Spring Split_Week 5_2_1,2026-05-06 17:58:00,26.09,red,GIANTX iTero,Barça eSports,Senna,0
Rift Legends/2026 Season/Spring Split_Week 5_4_2,2026-05-06 18:23:00,26.09,red,Bomba Team,Barcząca Esports,Senna,0
Rift Legends/2026 Season/Spring Split_Week 5_6_2,2026-05-07 18:35:00,26.09,red,LODIS (Polish Team),Anonymo Esports,Senna,0
North American Challengers League/2026 Season/Spring Season_Week 7_4_3,2026-05-08 00:41:00,26.09,blue,NRG,CCG Esports,Senna,1
North American Challengers League/2026 Season/Spring Season_Week 7_6_2,2026-05-08 23:08:00,26.09,red,Apex Mission Impossible,Citadel Gaming,Senna,0
LPL/2026 Season/Split 2_Week 6_7_2,2026-05-09 10:12:00,26.09,blue,Ninjas in Pyjamas.CN,Invictus Gaming,Senna,0
LCS/2026 Season/Spring Season_Week 6_3_2,2026-05-10 21:06:00,26.09,red,Cloud9,FlyQuest,Senna,1
TCL/2026 Season/Spring Split_Week 6_2_2,2026-05-11 17:47:00,26.09,blue,BoostGate Esports,Team Phoenix (Turkish Team),Senna,0
Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_3,2026-05-12 21:44:00,26.09,red,Malvinas Gaming,The New Kings,Senna,1
LPL/2026 Season/Split 2_Week 7_3_1,2026-05-13 09:10:00,26.09,blue,EDward Gaming,Oh My God,Senna,1
LFL/2026 Season/Spring Playoffs_Round 1_5_2,2026-05-13 17:08:00,26.09,blue,Ici Japon Corp. Esport,Esprit Shōnen,Senna,0
Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_1_2,2026-05-14 15:59:00,26.09,blue,G2 Esports,Natus Vincere,Senna,1
LIT/2026 Season/Spring Playoffs_Round 5_1_3,2026-05-14 17:43:00,26.09,red,GMBLERS Esports,EKO Esports,Senna,1
North American Challengers League/2026 Season/Spring Season_Week 8_1_2,2026-05-14 21:00:00,26.10,red,Supernova,Maryville University,Senna,1
TCL/2026 Season/Spring Split_Week 6_5_1,2026-05-15 14:31:00,26.09,blue,Ozarox Esports,Team Phoenix (Turkish Team),Senna,0
Benelux Ascend Series/2026 Season/Spring Split_Week 7_3_3,2026-05-15 19:40:00,26.09,red,FUSE,TAKA ASCEND,Senna,1
LPL/2026 Season/Split 2_Week 7_9_1,2026-05-16 09:11:00,26.09,red,EDward Gaming,ThunderTalk Gaming,Senna,0
Hitpoint Masters/2026 Season/Spring Split_Week 4_4_1,2026-05-16 16:46:00,26.10,blue,eSuba,Nightbirds,Senna,0
CBLOL/2026 Season/Split 1 Playoffs_Round 2_1_2,2026-05-16 17:18:00,26.10,red,RED Canids,Fluxo W7M,Senna,1
LCP/2026 Season/Split 2_Week 7_3_1,2026-05-17 09:19:00,26.10,red,Team Secret Whales,DetonatioN FocusMe,Senna,1
Nexus League/2026 Season/Spring Split_Week 6_8_1,2026-05-17 13:08:00,26.09,blue,Crystal Rose (French Team),Lille Esport,Senna,0
LCS/2026 Season/Spring Season_Week 7_4_1,2026-05-17 21:47:00,26.10,red,FlyQuest,LYON (2024 American Team),Senna,1
LES/2026 Season/Spring Split_Week 7_2_2,2026-05-20 17:54:00,26.10,blue,Barça eSports,Team Heretics Academy,Senna,0
Rift Legends/2026 Season/Spring Split_Week 6_4_2,2026-05-20 18:28:00,26.10,blue,Bomba Team,Anonymo Esports,Senna,1
LJL/2026 Season/Spring Series_Week 4_2_1,2026-05-21 10:03:00,26.10,blue,Rising Gaming,New Meta,Senna,0
Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_3,2026-05-21 16:54:00,26.10,blue,G2 NORD,Unicorns of Love Sexy Edition,Senna,1
LFL/2026 Season/Spring Playoffs_Round 2_3_2,2026-05-21 16:56:00,26.10,red,Esprit Shōnen,Galions,Senna,0
