patch,patch_number,champion,patch_matches,picks,wins,bans,win_rate,smoothed_win_rate,pick_rate,ban_rate,presence_rate,op_score,op_rank,is_high_pro_presence_reference
26.11,2611,Orianna,400,54,22,257,0.4074074074074074,0.4152542372881356,0.135,0.6425,0.7775,0.5442499999999999,1,True
26.11,2611,Varus,400,58,30,223,0.5172413793103449,0.5158730158730159,0.145,0.5575,0.7025,0.5012738095238095,2,True
26.11,2611,Jarvan IV,400,89,47,165,0.5280898876404494,0.526595744680851,0.2225,0.4125,0.635,0.4604574468085106,3,True
26.11,2611,Nocturne,400,66,37,175,0.5606060606060606,0.5563380281690141,0.165,0.4375,0.6025,0.4555528169014085,4,True
26.11,2611,Cassiopeia,400,75,47,139,0.6266666666666667,0.61875,0.1875,0.3475,0.535,0.44575,5,True
26.11,2611,Bard,400,73,43,138,0.589041095890411,0.5833333333333334,0.1825,0.345,0.5275,0.41925,6,True
26.11,2611,Nautilus,400,101,48,132,0.4752475247524752,0.47641509433962265,0.2525,0.33,0.5825,0.40775,7,True
26.11,2611,Karma,400,72,32,156,0.4444444444444444,0.44805194805194803,0.18,0.39,0.57,0.39899999999999997,8,True
26.11,2611,Ezreal,400,118,61,72,0.5169491525423728,0.516260162601626,0.295,0.18,0.475,0.3422560975609756,9,True
26.11,2611,Rumble,400,100,46,75,0.46,0.46190476190476193,0.25,0.1875,0.4375,0.30624999999999997,10,True
26.11,2611,Sion,400,92,48,71,0.5217391304347826,0.520618556701031,0.23,0.1775,0.4075,0.2976211340206185,11,False
26.11,2611,Ryze,400,91,49,63,0.5384615384615384,0.5364583333333334,0.2275,0.1575,0.385,0.291375,12,False
26.11,2611,Caitlyn,400,63,33,94,0.5238095238095238,0.5220588235294118,0.1575,0.235,0.3925,0.28798529411764706,13,False
26.11,2611,Xin Zhao,400,81,38,83,0.4691358024691358,0.47093023255813954,0.2025,0.2075,0.41,0.287,14,False
26.11,2611,Akali,400,45,25,101,0.5555555555555556,0.55,0.1125,0.2525,0.365,0.28550000000000003,15,False
26.11,2611,Naafiri,400,57,34,73,0.5964912280701754,0.5887096774193549,0.1425,0.1825,0.325,0.2807258064516129,16,False
26.11,2611,Lee Sin,400,63,38,63,0.6031746031746031,0.5955882352941176,0.1575,0.1575,0.315,0.2778529411764705,17,False
26.11,2611,K'Sante,400,91,51,40,0.5604395604395604,0.5572916666666666,0.2275,0.1,0.3275,0.26362499999999994,18,False
26.11,2611,Seraphine,400,79,43,57,0.5443037974683544,0.5416666666666666,0.1975,0.1425,0.34,0.26299999999999996,19,False
