match_id,side_proxy,team,old_picks,scoreboard_picks,corrected,scoreboard_pick_count
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_1,blue,Victorious Demons,Ambessa + Ezreal + Bard + Galio + Renekton,Renekton + Ambessa + Galio + Ezreal + Bard,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_1,red,Lunaris Esports (MENA Team),Nocturne + Varus + Nautilus + LeBlanc + Jax,Jax + Nocturne + LeBlanc + Varus + Nautilus,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_1,blue,Team Depressed,Pantheon + Corki + Nami + Gwen + Syndra,Gwen + Pantheon + Syndra + Corki + Nami,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_1,red,Pegasus Esports,Aatrox + Sion + Karma + Yunara + Mel,Sion + Aatrox + Mel + Yunara + Karma,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_2,blue,Lunaris Esports (MENA Team),Orianna + Xin Zhao + Kai'Sa + Thresh + Gnar,Gnar + Xin Zhao + Orianna + Kai'Sa + Thresh,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_2,red,Victorious Demons,Wukong + Ryze + Caitlyn + Morgana + Irelia,Irelia + Wukong + Ryze + Caitlyn + Morgana,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_2,blue,Pegasus Esports,K'Sante + Xin Zhao + Ezreal + Zoe + Rakan,K'Sante + Xin Zhao + Zoe + Ezreal + Rakan,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_2,red,Team Depressed,Ambessa + Neeko + Trundle + Kai'Sa + Annie,Ambessa + Trundle + Annie + Kai'Sa + Neeko,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_3,blue,Team Depressed,Jarvan IV + Sylas + Bard + Dr. Mundo + Jhin,Dr. Mundo + Jarvan IV + Sylas + Jhin + Bard,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_3,red,Pegasus Esports,Nocturne + Ornn + Braum + Cassiopeia + Vayne,Ornn + Nocturne + Cassiopeia + Vayne + Braum,False,5
Arabian League/2026 Season/Spring Split_Last Stand_1_1,blue,One More Esports,Jarvan IV + Tristana + Lulu + Gnar + Mel,Gnar + Jarvan IV + Mel + Tristana + Lulu,False,5
Arabian League/2026 Season/Spring Split_Last Stand_1_1,red,JSK Esports,LeBlanc + Ezreal + Naafiri + Thresh + Ambessa,Ambessa + Naafiri + LeBlanc + Ezreal + Thresh,False,5
Arabian League/2026 Season/Spring Split_Last Stand_1_2,blue,One More Esports,Seraphine + Ashe + Wukong + Annie + Renekton,Renekton + Wukong + Annie + Ashe + Seraphine,False,5
Arabian League/2026 Season/Spring Split_Last Stand_1_2,red,JSK Esports,Nami + Corki + Skarner + Ahri + Jayce,Jayce + Skarner + Ahri + Corki + Nami,False,5
Arabian League/2026 Season/Spring Split_Last Stand_2_1,blue,3BL Esports,Xin Zhao + Nautilus + Kai'Sa + Aurora + Sion,Sion + Xin Zhao + Aurora + Kai'Sa + Nautilus,False,5
Arabian League/2026 Season/Spring Split_Last Stand_2_1,red,GnG Amazigh,Jarvan IV + Yunara + Braum + Viktor + Zaahen,Zaahen + Jarvan IV + Viktor + Yunara + Braum,False,5
Arabian League/2026 Season/Spring Split_Last Stand_2_2,blue,GnG Amazigh,Ryze + K'Sante + Naafiri + Rakan + Xayah,K'Sante + Naafiri + Ryze + Xayah + Rakan,False,5
Arabian League/2026 Season/Spring Split_Last Stand_2_2,red,3BL Esports,Syndra + Wukong + Gnar + Corki + Nami,Gnar + Wukong + Syndra + Corki + Nami,False,5
Arabian League/2026 Season/Spring Split_Last Stand_2_3,blue,3BL Esports,Karma + Galio + Sivir + Lissandra + Lee Sin,Galio + Lee Sin + Lissandra + Sivir + Karma,False,5
Arabian League/2026 Season/Spring Split_Last Stand_2_3,red,GnG Amazigh,Jhin + Rumble + Alistar + Ahri + Vi,Rumble + Vi + Ahri + Jhin + Alistar,False,5
LCP/2026 Season/Split 2_Week 5_1_1,blue,Ground Zero Gaming,Jarvan IV + Ashe + Seraphine + Yorick + Cassiopeia,Ambessa + Xin Zhao + Ryze + Lucian + Milio,True,5
