patch,champion,role,feature_type,feature_value,count,total_games,usage_rate
26.09,Aatrox,Jungle,item,Sundered Sky,33,33,1.0
26.09,Aatrox,Jungle,item,Sterak's Gage,21,33,0.6363636363636364
26.09,Aatrox,Jungle,item,Mercury's Treads,17,33,0.5151515151515151
26.09,Aatrox,Jungle,item,Death's Dance,14,33,0.42424242424242425
26.09,Aatrox,Jungle,item,Plated Steelcaps,12,33,0.36363636363636365
26.09,Aatrox,Jungle,item,Control Ward,10,33,0.30303030303030304
26.09,Aatrox,Jungle,item,Spear of Shojin,8,33,0.24242424242424243
26.09,Aatrox,Jungle,item,Steel Sigil,7,33,0.21212121212121213
26.09,Aatrox,Jungle,item,Spirit Visage,6,33,0.18181818181818182
26.09,Aatrox,Jungle,item,Cloth Armor,5,33,0.15151515151515152
26.09,Aatrox,Jungle,item,Pickaxe,4,33,0.12121212121212122
26.09,Aatrox,Jungle,item,Maw of Malmortius,3,33,0.09090909090909091
26.09,Aatrox,Jungle,item,Voltaic Cyclosword,3,33,0.09090909090909091
26.09,Aatrox,Jungle,item,Guardian Angel,3,33,0.09090909090909091
26.09,Aatrox,Jungle,item,Caulfield's Warhammer,3,33,0.09090909090909091
26.09,Aatrox,Jungle,item,Slightly Magical Footwear,3,33,0.09090909090909091
26.09,Aatrox,Jungle,item,Null-Magic Mantle,2,33,0.06060606060606061
26.09,Aatrox,Jungle,item,Ruby Crystal,2,33,0.06060606060606061
26.09,Aatrox,Jungle,item,B. F. Sword,2,33,0.06060606060606061
26.09,Aatrox,Jungle,item,Giant's Belt,1,33,0.030303030303030304
26.09,Aatrox,Jungle,item,Gluttonous Greaves,1,33,0.030303030303030304
26.09,Aatrox,Jungle,item,Hexdrinker,1,33,0.030303030303030304
26.09,Aatrox,Jungle,item,Tunneler,1,33,0.030303030303030304
26.09,Aatrox,Jungle,item,Executioner's Calling,1,33,0.030303030303030304
26.09,Aatrox,Jungle,item,Endless Hunger,1,33,0.030303030303030304
26.09,Aatrox,Jungle,key_rune,Conqueror,33,33,1.0
26.09,Aatrox,Top,item,Sundered Sky,30,33,0.9090909090909091
26.09,Aatrox,Top,item,Spear of Shojin,19,33,0.5757575757575758
26.09,Aatrox,Top,item,Mercury's Treads,17,33,0.5151515151515151
26.09,Aatrox,Top,item,Plated Steelcaps,16,33,0.48484848484848486
26.09,Aatrox,Top,item,Doran's Shield,13,33,0.3939393939393939
26.09,Aatrox,Top,item,Sterak's Gage,11,33,0.3333333333333333
