team,champion,team_champion_pick_rows,wins_with_champion,op_pick_rows,patches,example_matches,win_rate_with_champion
Dplus Kia,Jarvan IV,10,8,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_4_1, LCK/2026 Season/Rounds 1-2_Week 6_9_2, LCK/2026 Season/Rounds 1-2_Week 7_2_1",0.8
Dplus Kia,Viktor,10,7,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 6_3_2, LCK/2026 Season/Rounds 1-2_Week 6_9_2, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_2_2",0.7
LØS,Ryze,10,9,0,"26.09, 26.10, 26.11","CBLOL/2026 Season/Split 1_Week 6_3_1, CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_2, CBLOL/2026 Season/Split 1 Playoffs_Round 1_3_3",0.9
Bilibili Gaming,Sion,9,8,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 5_13_3, LPL/2026 Season/Split 2_Week 6_6_1, LPL/2026 Season/Split 2_Week 7_2_2",0.8888888888888888
E WIE EINFACH E-SPORTS,Sion,9,6,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 7_3_1, Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_1_3, Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_1_1",0.6666666666666666
Galions,K'Sante,9,6,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/EMEA_Round 3_1_2, LFL/2026 Season/Spring Playoffs_Round 2_2_2, LFL/2026 Season/Spring Playoffs_Round 2_3_1",0.6666666666666666
Nongshim RedForce,Pantheon,9,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_4_1, LCK/2026 Season/Rounds 1-2_Week 6_1_2, LCK/2026 Season/Rounds 1-2_Week 7_1_2",0.2222222222222222
Ruddy Corporation,Karma,9,4,0,"26.10, 26.11","NLC/2026 Season/Spring Split_Day 1_2_1, NLC/2026 Season/Spring Split_Day 1_10_1, NLC/2026 Season/Spring Split_Day 2_9_1",0.4444444444444444
T1,Ashe,9,7,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_2_2, LCK/2026 Season/Rounds 1-2_Week 6_5_1, LCK/2026 Season/Rounds 1-2_Week 6_9_1",0.7777777777777778
Deep Cross Gaming,Bard,8,4,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_1, LCP/2026 Season/Split 2_Week 6_3_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_5_1",0.5
Dplus Kia,Seraphine,8,1,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 6_9_1, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_2_1, LCK/2026 Season/Rounds 1-2_Week 7_5_1",0.125
