team,total_pick_rows,unique_champions,wins,op_pick_rows,patches,team_row_win_rate,op_pick_rate,two_mode_degree,two_mode_weighted_degree
Apex Mission Impossible,10,10,0,1,26.09,0.0,0.1,10,10.0
Hong Kong (National Team),25,22,20,2,26.11,0.8,0.08,22,25.0
Pakistan (National Team),15,12,0,1,26.11,0.0,0.06666666666666667,12,15.0
Golden Lions,35,29,15,2,"26.10, 26.11",0.42857142857142855,0.05714285714285714,29,35.0
LODIS (Polish Team),35,27,15,2,"26.09, 26.10",0.42857142857142855,0.05714285714285714,27,35.0
Partizan Sangal,95,39,70,5,"26.09, 26.10, 26.11",0.7368421052631579,0.05263157894736842,39,95.0
Arctic Pandas,60,36,30,3,"26.10, 26.11",0.5,0.05,36,60.0
Ici Japon Corp. Esport,20,17,0,1,26.09,0.0,0.05,17,20.0
Malaysia (National Team),20,16,10,1,26.11,0.5,0.05,16,20.0
Cloud9,95,43,45,4,"26.09, 26.10, 26.11",0.47368421052631576,0.042105263157894736,43,95.0
Kenty,25,25,15,1,26.10,0.6,0.04,25,25.0
Kuma eSports B,25,24,0,1,26.11,0.0,0.04,24,25.0
Bilibili Gaming Junior,25,22,5,1,26.11,0.2,0.04,22,25.0
ThunderTalk Gaming,90,48,45,3,"26.09, 26.10",0.5,0.03333333333333333,48,90.0
NRG,60,41,30,2,"26.09, 26.10",0.5,0.03333333333333333,41,60.0
GIANTX iTero,30,28,10,1,"26.09, 26.10",0.3333333333333333,0.03333333333333333,28,30.0
Esprit Shōnen,30,26,10,1,"26.09, 26.10",0.3333333333333333,0.03333333333333333,26,30.0
Malvinas Gaming,30,24,15,1,"26.09, 26.10",0.5,0.03333333333333333,24,30.0
Saudi Arabia (National Team),30,22,15,1,26.11,0.5,0.03333333333333333,22,30.0
Crystal Rose (French Team),30,21,0,1,"26.09, 26.10",0.0,0.03333333333333333,21,30.0
The Secret Club,65,42,35,2,"26.09, 26.10",0.5384615384615384,0.03076923076923077,42,65.0
Marere Invokers,65,40,40,2,26.11,0.6153846153846154,0.03076923076923077,40,65.0
Barça eSports,65,36,30,2,"26.09, 26.10",0.46153846153846156,0.03076923076923077,36,65.0
Team Secret Whales,100,59,75,3,"26.09, 26.10",0.75,0.03,59,100.0
Bomba Team,140,57,85,4,"26.09, 26.10, 26.11",0.6071428571428571,0.02857142857142857,57,140.0
G2 NORD,140,57,95,4,"26.09, 26.10, 26.11",0.6785714285714286,0.02857142857142857,57,140.0
UCAM Esports,140,54,80,4,"26.09, 26.10, 26.11",0.5714285714285714,0.02857142857142857,54,140.0
Supernova,70,43,35,2,"26.09, 26.10",0.5,0.02857142857142857,43,70.0
Frank Esports,75,47,40,2,26.10,0.5333333333333333,0.02666666666666667,47,75.0
StoneHenge Esports,40,32,15,1,26.10,0.375,0.025,32,40.0
